Player,Squad,mf_post,mf_role,cm_role,Rk,Nation,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 38,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 56,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Pass_Short_Cmp,Pass_Short_Att,Pass_Short_Cmp%,Pass_Med_Cmp,Pass_Med_Att,Pass_Med_Cmp%,Pass_Long_Cmp,Pass_Long_Att,Pass_Long_Cmp%,Ast.2,xAG.2,xA,A-xAG,KP,FinalThird_Pass,PPA,CrsPA,PrgP.1,Unnamed: 80,PassType_Att,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Switch,Pass_Cross,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Straight,Pass_Cmp.1,Pass_Offside,Pass_Blocked,Unnamed: 96,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_Def,Unnamed: 113,Tackles,Tackles_Won,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks_Total,Shots_Blocked,Passes_Blocked,Interceptions,Tackles_Interceptions,Clearances,Errors_LeadingShot,Unnamed: 130,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TakeOn_Att,TakeOn_Succ,TakeOn_Succ%,TakeOn_Tackled,TakeOn_Tackled%,Carries,Carry_TotDist,Carry_PrgDist,PrgC.1,Carry_FinalThird,Carry_PenArea,Miscontrols,Dispossessed,Rec,PrgR.1,Unnamed: 153,CrdY.1,CrdR.1,2CrdY,Fls,Fld,Offsides,Crs,Interceptions.1,Tackles_Won.1,PKwon,PKcon,OG,Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won%,Min_num,minutes_flag,mf_post_score_raw,mf_post_rating_0100,mf_role_score_raw,mf_role_rating_0100,mf_role_rating_shrunk_0100,n_post,n_role,role_sample_flag
Justin Kluivert,bournemouth,AM,AM_CLASSIC_10,,68,nl NED,MF,25.0,1999.0,34,29,2340,26.0,0.46,0.23,0.69,0.23,0.23,0.23,0.31,0.0,0.4,0.22,0.18,0.4,3.12,4.04,6.65,0.46,0.23,0.69,0.23,0.46,0.4,0.19,0.58,0.22,0.4,MF,0.46,2.19,0.88,40.4,2.19,0.88,0.11,0.26,20.0,0.0,0.23,0.23,0.4,0.22,0.1,0.07,0.02,,22.4,30.1,74.4,340.2,89.6,12.4,14.7,84.3,7.27,9.54,76.2,1.73,3.35,51.7,0.23,0.18,0.14,0.05,1.73,1.73,1.35,0.23,4.04,,30.1,26.3,3.54,0.31,0.19,0.23,3.27,0.38,1.35,1.15,0.0,0.0,22.4,0.27,0.69,,3.88,3.88,2.81,0.31,0.27,0.27,0.19,0.04,0.46,0.46,0.42,0.0,0.0,0.0,0.04,0.0,,0.88,0.42,0.15,0.42,0.31,0.15,0.85,18.2,0.69,0.92,0.0,0.92,0.54,1.42,0.92,0.04,,41.8,0.92,3.81,14.1,24.7,5.15,41.5,3.35,1.38,41.4,1.54,46.0,24.8,161.5,90.9,3.12,2.12,1.46,2.12,1.04,27.3,6.65,,0.31,0.0,0.0,1.81,1.27,0.19,3.27,0.54,0.42,0.04,0.0,0.0,3.0,0.31,1.08,22.2,2340,OK,-0.05306749154417954,50.0,0.1096182021000368,57.14285714285714,55.26315789473684,32.0,28.0,OK
Philip Billing,bournemouth,AM,AM_CLASSIC_10,,70,dk DEN,MF,28.0,1996.0,10,1,184,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.3,0.55,0.85,1.5,7.5,6.5,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82,MF,0.0,2.5,0.5,20.0,2.45,0.49,0.0,0.0,17.9,0.0,0.0,0.0,0.3,0.3,0.11,-0.3,-0.3,,35.0,51.0,68.6,511.5,200.0,21.5,25.5,84.3,9.5,13.5,70.4,2.0,7.5,26.7,0.0,0.55,0.5,-0.55,4.5,4.5,3.5,1.0,7.5,,51.0,45.5,5.0,0.5,0.5,0.5,5.0,0.5,3.0,1.0,1.0,0.5,35.0,0.5,1.0,,8.0,7.83,6.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,2.5,3.5,3.0,0.5,1.5,2.0,75.0,0.5,1.5,0.0,1.5,2.5,9.5,1.0,0.0,,74.0,2.5,10.0,36.0,28.5,6.0,74.0,1.5,0.5,33.3,0.0,0.0,29.0,127.0,81.5,1.5,0.5,0.5,3.5,2.0,37.5,6.5,,0.5,0.0,0.0,1.5,1.0,0.0,5.0,2.5,2.5,0.0,0.0,0.0,7.0,3.0,2.0,60.0,184,LOW_MIN,0.5575598083196528,78.125,0.786631075668213,89.28571428571429,86.34868421052632,32.0,28.0,OK
Alex Scott,bournemouth,DM,DM_DEEP_CM,,67,eng ENG,MF,20.0,2003.0,20,8,755,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.08,0.08,0.11,0.19,1.79,6.19,3.93,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.19,0.09,0.19,MF,0.0,1.79,0.71,40.0,1.79,0.72,0.0,0.0,21.1,0.12,0.0,0.0,0.08,0.08,0.05,-0.08,-0.08,,34.0,40.7,83.6,545.6,161.8,16.9,18.9,89.3,13.3,14.4,92.6,2.38,4.17,57.1,0.0,0.11,0.12,-0.11,1.43,4.88,0.6,0.12,6.19,,40.7,37.7,2.74,1.19,0.24,0.48,0.83,0.12,0.6,0.36,0.0,0.0,34.0,0.24,0.71,,3.45,3.45,2.26,0.24,0.0,0.24,0.36,0.36,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,,3.21,1.67,1.31,0.95,0.95,2.26,5.0,45.2,2.74,2.02,0.48,1.55,1.19,4.4,1.79,0.0,,57.7,2.86,10.7,30.6,17.1,2.14,57.7,3.1,0.71,23.1,1.55,50.0,29.4,166.8,78.9,1.79,1.19,0.36,2.74,0.95,35.0,3.93,,0.36,0.0,0.0,2.02,3.1,0.0,0.83,1.19,1.67,0.0,0.0,0.0,6.19,0.83,0.83,50.0,755,OK,0.8052745278088291,95.16129032258065,0.3861989309999111,83.33333333333334,87.55760368663596,62.0,18.0,OK
Yehor Yarmoliuk,brentford,DM,DM_CONTROLLER,,96,ua UKR,MF,20.0,2004.0,31,15,1450,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.04,0.04,0.06,0.09,0.93,3.91,2.92,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,MF,0.0,0.56,0.12,22.2,0.56,0.12,0.0,0.0,15.9,0.0,0.0,0.0,0.04,0.04,0.07,-0.04,-0.04,,41.1,47.2,87.0,727.7,166.4,19.6,22.4,87.8,16.1,17.9,89.9,4.47,5.28,84.7,0.0,0.06,0.06,-0.06,0.56,4.41,0.5,0.25,3.91,,47.2,46.7,0.43,0.19,0.25,0.56,0.99,0.25,0.0,0.0,0.0,0.0,41.1,0.06,0.75,,1.61,1.62,1.3,0.0,0.12,0.06,0.06,0.06,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,,3.04,1.74,1.3,1.3,0.43,1.74,3.42,50.9,1.68,1.61,0.56,1.06,0.81,3.85,2.05,0.0,,59.6,3.79,17.2,31.1,12.6,0.93,59.6,1.68,0.81,48.1,0.68,40.7,32.3,173.3,56.4,0.93,1.18,0.19,1.61,1.3,37.2,2.92,,0.37,0.0,0.0,1.18,0.81,0.12,0.99,0.81,1.74,0.0,0.0,0.0,7.02,0.5,0.62,44.4,1450,OK,0.14021955746831782,62.903225806451616,0.27135385159302317,75.86206896551724,72.53928866832092,62.0,29.0,OK
Vitaly Janelt,brentford,DM,DM_DESTROYER,,101,de GER,MF,26.0,1998.0,32,27,2254,25.0,0.04,0.12,0.16,0.04,0.0,0.0,0.12,0.0,0.03,0.03,0.09,0.12,0.68,3.2,1.52,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,MF,0.04,0.56,0.16,28.6,0.56,0.16,0.07,0.25,17.7,0.0,0.0,0.0,0.03,0.03,0.06,0.01,0.01,,34.9,42.3,82.5,578.6,171.2,17.7,19.6,90.6,13.8,16.1,85.4,2.64,4.72,55.9,0.12,0.09,0.1,0.03,0.56,3.12,0.92,0.28,3.2,,42.3,41.3,0.72,0.48,0.12,0.24,1.2,0.24,0.0,0.0,0.0,0.0,34.9,0.24,0.64,,1.28,1.28,1.24,0.04,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,,1.52,0.88,0.56,0.52,0.44,0.84,1.44,58.3,0.6,1.32,0.36,0.96,1.08,2.6,2.12,0.04,,51.6,4.72,16.7,23.0,12.2,1.28,51.6,0.48,0.12,25.0,0.28,58.3,26.0,120.2,51.1,0.68,0.72,0.12,0.64,0.4,32.6,1.52,,0.12,0.0,0.0,0.96,0.6,0.04,1.2,1.08,0.88,0.0,0.0,0.08,4.28,0.76,0.44,63.3,2254,OK,-0.3210160592952326,20.967741935483872,0.033361468155456646,53.333333333333336,40.38709677419355,62.0,15.0,OK
Christian Nørgaard,brentford,DM,DM_DESTROYER,,99,dk DEN,MF,30.0,1994.0,34,34,2819,31.3,0.16,0.13,0.29,0.16,0.0,0.0,0.26,0.03,0.14,0.14,0.04,0.18,0.45,4.92,1.34,0.16,0.13,0.29,0.16,0.29,0.14,0.04,0.18,0.14,0.18,MF,0.16,1.25,0.48,38.5,1.25,0.48,0.13,0.33,14.3,0.0,0.0,0.0,0.14,0.14,0.11,0.02,0.02,,37.2,45.6,81.6,617.9,204.8,18.7,21.3,87.4,15.4,18.1,85.0,2.52,4.25,59.4,0.13,0.04,0.04,0.09,0.58,4.38,0.86,0.13,4.92,,45.6,44.4,0.96,0.61,0.13,0.16,0.54,0.32,0.0,0.0,0.0,0.0,37.2,0.19,0.8,,1.85,1.85,1.53,0.0,0.0,0.22,0.06,0.03,0.42,0.42,0.35,0.0,0.0,0.03,0.03,0.0,,2.52,1.57,1.18,1.12,0.22,1.53,2.59,59.3,1.05,1.66,0.64,1.02,1.57,4.09,2.24,0.03,,57.6,5.62,19.6,27.3,11.2,1.82,57.6,0.45,0.22,50.0,0.16,35.7,26.4,99.5,44.4,0.45,0.51,0.13,1.09,0.64,34.3,1.34,,0.26,0.03,0.0,1.41,0.89,0.03,0.54,1.57,1.57,0.0,0.0,0.0,6.17,1.57,0.96,62.0,2819,OK,-0.055719913293545385,48.38709677419355,0.3264194872154189,93.33333333333333,75.35483870967741,62.0,15.0,OK
Ryan Trevitt,brentford,DM,DM_CONTROLLER,,97,eng ENG,MF,21.0,2003.0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,4.0,7.0,57.1,73.0,23.0,1.0,2.0,50.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,7.0,1.0,2.0,4.0,1.0,0.0,7.0,0.0,0.0,,0.0,,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,4,LOW_MIN,-2.191200212959847,2.4193548387096775,-2.0860218430371047,3.4482758620689653,3.1844499586435067,62.0,29.0,OK
Frank Onyeka,brentford,DM,DM_DESTROYER,,98,ng NGA,MF,26.0,1998.0,2,0,25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,20.0,23.3,85.7,236.7,63.3,16.7,16.7,100.0,3.33,3.33,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,,23.3,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.3,0.0,3.33,16.7,13.3,0.0,33.3,0.0,0.0,,0.0,,20.0,183.3,46.7,0.0,0.0,0.0,6.67,3.33,20.0,0.0,,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,,25,LOW_MIN,-1.5288124385030906,2.4193548387096775,-1.41131279272108,6.666666666666667,4.967741935483871,62.0,15.0,OK
Mathias Jensen,brentford,CM,,CM_BOX_TO_BOX,100,dk DEN,MF,28.0,1996.0,24,8,862,9.6,0.0,0.21,0.21,0.0,0.0,0.0,0.21,0.0,0.02,0.02,0.18,0.2,0.63,6.35,2.81,0.0,0.21,0.21,0.0,0.21,0.03,0.17,0.2,0.03,0.2,MF,0.0,0.63,0.1,16.7,0.63,0.1,0.0,0.0,23.1,0.0,0.0,0.0,0.02,0.02,0.04,-0.02,-0.02,,37.8,50.6,74.7,701.7,256.8,17.7,20.1,88.1,13.9,17.9,77.3,5.1,9.38,54.4,0.21,0.18,0.18,0.03,1.67,4.38,1.98,0.31,6.35,,50.6,42.1,8.13,1.56,0.21,0.52,3.44,4.58,1.46,1.15,0.0,0.0,37.8,0.42,0.73,,4.27,4.28,3.02,1.15,0.1,0.0,0.0,0.0,0.52,0.52,0.21,0.21,0.1,0.0,0.0,0.0,,1.46,1.04,0.63,0.63,0.21,0.83,1.67,50.0,0.83,1.56,0.42,1.15,0.83,2.29,1.35,0.21,,59.7,2.81,13.1,25.3,21.6,0.94,59.7,1.77,0.94,52.9,0.63,35.3,31.3,135.0,62.3,0.63,1.25,0.0,0.94,0.73,36.5,2.81,,0.21,0.0,0.0,0.73,1.04,0.0,3.44,0.83,1.04,0.0,0.0,0.0,5.0,0.83,0.52,61.5,862,OK,-0.4088915936866963,17.647058823529413,-0.3701429911663349,21.428571428571427,19.852941176470587,17.0,14.0,OK
Yasin Ayari,brighton,DM,DM_DEEP_CM,,131,se SWE,MF,20.0,2003.0,34,22,1965,21.8,0.09,0.05,0.14,0.09,0.0,0.0,0.14,0.0,0.11,0.11,0.11,0.22,1.38,3.44,2.8,0.09,0.05,0.14,0.09,0.14,0.11,0.11,0.22,0.11,0.22,MF,0.09,1.28,0.37,28.6,1.28,0.37,0.07,0.25,18.7,0.09,0.0,0.0,0.11,0.11,0.09,-0.02,-0.02,,36.4,44.6,81.5,546.6,152.7,21.3,23.3,91.4,12.3,14.6,84.3,1.83,4.5,40.8,0.05,0.11,0.12,-0.06,1.38,2.52,0.83,0.18,3.44,,44.6,40.4,4.22,1.56,0.46,0.05,3.17,0.14,1.7,1.24,0.28,0.05,36.4,0.05,0.64,,2.8,2.79,1.65,0.6,0.14,0.14,0.18,0.09,0.28,0.27,0.18,0.09,0.0,0.0,0.0,0.0,,2.71,1.47,0.69,1.42,0.6,1.19,2.57,46.4,1.38,1.1,0.28,0.83,0.92,3.62,1.19,0.0,,56.6,2.66,12.6,28.6,16.2,2.06,56.6,2.06,0.83,40.0,0.83,40.0,30.0,148.8,67.2,1.38,1.15,0.28,1.74,1.01,36.7,2.8,,0.14,0.0,0.0,1.7,1.19,0.14,3.17,0.92,1.47,0.0,0.05,0.0,5.41,0.73,0.92,44.4,1965,OK,0.44333157321661776,77.41935483870968,-0.06327394025474534,55.55555555555556,63.36405529953917,62.0,18.0,OK
Carlos Baleba,brighton,DM,DM_DEEP_CM,,130,cm CMR,MF,20.0,2004.0,34,31,2661,29.6,0.1,0.03,0.14,0.1,0.0,0.0,0.27,0.03,0.1,0.1,0.04,0.15,1.45,3.99,0.98,0.1,0.03,0.14,0.1,0.14,0.1,0.05,0.15,0.1,0.15,MF,0.1,1.49,0.37,25.0,1.49,0.37,0.07,0.27,25.5,0.03,0.0,0.0,0.1,0.1,0.07,-0.0,-0.0,,38.8,44.4,87.4,652.2,160.2,18.4,20.0,92.0,16.5,17.8,92.2,3.18,5.0,63.5,0.03,0.04,0.04,-0.01,0.71,3.68,0.78,0.1,3.99,,44.4,43.5,0.78,0.34,0.24,0.1,0.3,0.1,0.0,0.0,0.0,0.0,38.8,0.07,0.47,,2.23,2.23,1.86,0.0,0.07,0.17,0.03,0.1,0.14,0.14,0.07,0.0,0.0,0.0,0.03,0.03,,2.67,1.55,0.88,1.25,0.54,1.62,2.7,60.0,1.08,1.59,0.37,1.22,1.55,4.22,1.49,0.03,,57.3,3.18,13.9,33.6,11.5,0.41,57.3,1.93,1.11,57.9,0.68,35.1,32.8,192.3,94.9,1.45,1.52,0.1,1.32,1.42,35.0,0.98,,0.27,0.03,0.03,1.35,1.62,0.0,0.3,1.55,1.55,0.0,0.07,0.0,6.66,1.32,0.88,60.0,2661,OK,0.14567614016362174,64.51612903225806,-0.2456920491333418,33.33333333333333,44.4700460829493,62.0,18.0,OK
Jeremy Sarmiento,brighton,AM,AM_CLASSIC_10,,124,ec ECU,MF,22.0,2002.0,1,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,60.0,60.0,100.0,740.0,10.0,40.0,40.0,100.0,20.0,20.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,0.0,0.0,60.0,20.0,0.0,80.0,0.0,0.0,,0.0,,60.0,610.0,100.0,0.0,0.0,0.0,10.0,0.0,70.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,9,LOW_MIN,-0.789232557962694,14.0625,-0.6712046903801004,16.071428571428573,15.542763157894738,32.0,28.0,OK
Jakub Moder,brighton,AM,AM_CLASSIC_10,,126,pl POL,MF,25.0,1999.0,4,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,1.45,MF,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,180.0,220.0,81.8,2540.0,820.0,100.0,140.0,71.4,80.0,80.0,100.0,0.0,0.0,,0.0,2.0,5.0,-2.0,30.0,0.0,10.0,10.0,40.0,,220.0,220.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,,40.0,32.73,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,,270.0,20.0,70.0,120.0,90.0,10.0,270.0,0.0,0.0,,0.0,,130.0,930.0,620.0,20.0,30.0,0.0,0.0,0.0,140.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,11,LOW_MIN,-0.6885312316414742,32.8125,-0.5733535242102503,37.5,36.266447368421055,32.0,28.0,OK
Billy Gilmour,brighton,AM,AM_CLASSIC_10,,129,sct SCO,MF,23.0,2001.0,2,1,98,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,1.82,10.0,1.82,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,MF,0.0,0.91,0.0,0.0,0.92,0.0,0.0,,25.5,0.91,0.0,0.0,0.09,0.09,0.08,-0.09,-0.09,,52.7,60.9,86.6,890.9,314.5,32.7,34.5,94.7,16.4,20.0,81.8,3.64,6.36,57.1,0.0,0.0,0.0,0.0,0.0,10.9,1.82,0.0,10.0,,60.9,59.1,1.82,0.91,0.91,1.82,0.91,0.0,0.91,0.91,0.0,0.0,52.7,0.0,0.0,,2.73,2.76,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.73,2.73,1.82,0.91,0.0,2.73,3.64,75.0,0.91,0.91,0.0,0.91,0.0,2.73,0.91,0.0,,66.4,1.82,12.7,41.8,11.8,0.0,66.4,1.82,0.91,50.0,0.91,50.0,40.0,190.9,106.4,1.82,0.0,0.0,0.0,0.0,52.7,1.82,,0.0,0.0,0.0,1.82,2.73,0.0,0.91,0.0,2.73,0.0,0.0,0.0,4.55,0.0,0.0,,98,LOW_MIN,1.6671489131393717,100.0,1.9902894465837953,100.0,100.0,32.0,28.0,OK
James Milner,brighton,CM,,CM_BOX_TO_BOX,127,eng ENG,MF,38.0,1986.0,4,3,170,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.11,0.11,0.11,0.21,0.53,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,MF,0.0,1.05,0.0,0.0,1.06,0.0,0.0,,16.0,0.0,0.0,0.0,0.11,0.11,0.08,-0.11,-0.11,,28.9,38.9,74.3,473.2,182.6,13.7,14.7,92.9,12.1,15.8,76.7,2.11,5.79,36.4,0.0,0.11,0.11,-0.11,2.11,1.58,0.53,0.53,5.26,,38.9,33.2,5.79,2.11,1.05,0.0,4.21,0.0,3.16,1.05,1.58,0.0,28.9,0.0,0.53,,4.21,4.24,2.63,1.05,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.63,1.05,0.53,1.58,0.53,1.58,1.58,100.0,0.0,2.11,1.05,1.05,1.05,3.68,1.05,0.53,,48.9,1.58,6.84,25.8,16.3,2.11,48.9,0.53,0.53,100.0,0.0,0.0,24.7,117.4,51.1,0.53,0.53,0.0,0.0,0.0,31.1,5.26,,0.53,0.0,0.0,1.58,0.53,0.0,4.21,1.05,1.05,0.0,0.0,0.0,1.05,0.0,0.53,0.0,170,LOW_MIN,-0.48778867840902007,11.76470588235294,-0.4340576424200017,14.285714285714285,13.235294117647058,17.0,14.0,OK
Diego Gómez,brighton,CM,,CM_BOX_TO_BOX,128,py PAR,MF,21.0,2003.0,16,4,516,5.7,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.16,0.16,0.12,0.28,1.4,4.74,4.04,0.17,0.0,0.17,0.17,0.17,0.15,0.13,0.28,0.15,0.28,MF,0.18,1.58,0.53,33.3,1.57,0.52,0.11,0.33,19.6,0.35,0.0,0.0,0.16,0.16,0.09,0.02,0.02,,42.6,53.0,80.5,651.8,163.3,24.2,27.9,86.8,14.7,17.5,84.0,2.46,4.39,56.0,0.0,0.12,0.21,-0.12,1.4,2.46,1.23,0.18,4.74,,53.0,49.6,3.33,0.35,0.7,0.35,2.11,0.18,1.05,0.35,0.53,0.0,42.6,0.0,1.58,,3.33,3.32,2.46,0.53,0.0,0.18,0.18,0.0,0.7,0.7,0.35,0.18,0.0,0.0,0.18,0.0,,3.68,2.28,1.93,1.4,0.35,2.11,3.86,54.5,1.75,2.28,0.0,2.28,1.4,5.09,1.75,0.18,,70.7,3.68,15.3,37.2,19.1,1.75,70.7,2.11,1.05,50.0,1.05,50.0,33.9,130.9,64.0,1.4,0.7,0.0,1.75,1.58,43.3,4.04,,0.0,0.0,0.0,1.4,0.53,0.18,2.11,1.4,2.28,0.18,0.0,0.0,5.61,1.75,0.7,71.4,516,LOW_MIN,-0.16535787157002604,35.294117647058826,-0.11816741104491385,42.857142857142854,39.705882352941174,17.0,14.0,OK
Matt O'Riley,brighton,AM,AM_CLASSIC_10,,125,dk DEN,MF,23.0,2000.0,21,11,938,10.4,0.19,0.19,0.38,0.1,0.1,0.1,0.1,0.0,0.27,0.19,0.23,0.42,2.12,3.65,5.0,0.19,0.19,0.38,0.1,0.29,0.27,0.23,0.5,0.2,0.42,MF,0.19,2.02,0.58,28.6,2.01,0.58,0.05,0.17,17.6,0.19,0.1,0.1,0.27,0.19,0.1,-0.08,-0.1,,30.4,39.7,76.5,482.5,131.0,15.5,17.5,88.5,10.4,12.8,81.2,2.88,6.06,47.6,0.19,0.23,0.19,-0.04,2.02,2.88,0.77,0.1,3.65,,39.7,33.2,6.44,1.25,0.19,0.19,4.9,0.1,3.46,2.21,0.77,0.0,30.4,0.1,1.44,,3.85,3.84,2.21,1.06,0.1,0.19,0.1,0.19,0.48,0.48,0.38,0.0,0.0,0.0,0.1,0.0,,1.54,0.87,0.38,0.77,0.38,0.38,1.25,30.8,0.87,0.67,0.29,0.38,1.25,2.79,0.87,0.1,,50.5,1.92,7.69,22.3,20.7,4.52,50.4,1.25,0.77,61.5,0.38,30.8,26.4,109.5,52.3,2.12,1.15,0.77,1.83,0.38,29.5,5.0,,0.1,0.0,0.0,1.54,1.25,0.19,4.9,1.25,0.87,0.1,0.0,0.1,2.79,0.48,0.77,38.5,938,OK,0.07187279815733419,62.5,0.23695931763788042,75.0,71.71052631578948,32.0,28.0,OK
