Player,Squad,Pos,Min,Min_num,low_min_flag,fw_post,fw_role,fw_role_proba,runner_index_raw,runner_index_z_st,alt_role_any,alt_role_any_proba,p_fw_role_INSIDE_FORWARD,p_fw_role_ST_FINISHER,p_fw_role_ST_LINK,p_fw_role_ST_RUNNER,p_fw_role_WIDE_WINGER,p_any_INSIDE_FORWARD,p_any_ST_FINISHER,p_any_ST_LINK,p_any_ST_RUNNER,p_any_WIDE_WINGER
Jadon Sancho,chelsea,FW,1764,1764,False,NON_ST,WIDE_WINGER,0.999999999999,131.173,0.0,ST_FINISHER,0.49999999999975,4.1375373425293027e-41,,,,0.999999999999,2.0687686712656857e-41,0.49999999999975,0.0,0.0,0.49999999999975
Marc Guiu,chelsea,FW,73,73,True,ST,ST_FINISHER,0.999999999999,20.375,-1.698354321077467,INSIDE_FORWARD,0.49999999999744343,,0.999999999999,0.0,0.0,,0.49999999999744343,0.49999999999975,0.0,0.0,2.3065164738140243e-12
Mykhailo Mudryk,chelsea,FW,151,151,True,NON_ST,WIDE_WINGER,0.9999999999989959,130.847,0.0,ST_FINISHER,0.49999999999975,4.112159257405722e-15,,,,0.9999999999989959,2.056079628703889e-15,0.49999999999975,0.0,0.0,0.4999999999997479
Nicolas Jackson,chelsea,FW,2220,2220,False,ST,ST_RUNNER,0.999999999999,59.96699999999999,1.155837407761991,ST_FINISHER,0.49999999999975003,,0.999999999999,3.5945233882641944e-33,0.0,,0.49999999999961336,0.49999999999975003,1.797261694132996e-33,0.0,1.365970921096994e-13
Noni Madueke,chelsea,FW,2033,2033,False,NON_ST,INSIDE_FORWARD,0.999999999999,153.677,0.0,ST_FINISHER,0.49999999999975,0.999999999999,,,,6.333942273625499e-18,0.49999999999975,0.49999999999975,0.0,0.0,3.1669711368143328e-18
Pedro Neto,chelsea,FW,2269,2269,False,NON_ST,WIDE_WINGER,0.999999999999,136.23100000000002,0.0,ST_FINISHER,0.49999999999975,1.3266220458613674e-20,,,,0.999999999999,6.6331102293101534e-21,0.49999999999975,0.0,0.0,0.49999999999975
Tyrique George,chelsea,FW,183,183,True,NON_ST,WIDE_WINGER,0.9999910972279624,108.462,0.0,ST_FINISHER,0.4999999999997499,8.902771037642062e-06,,,,0.9999910972279624,4.451385518823256e-06,0.4999999999997499,0.0,0.0,0.4999955486142311
Jean-Philippe Mateta,crystal palace,FW,2648,2648,False,ST,ST_FINISHER,0.999999999999,41.80500000000001,-0.1534632130498447,INSIDE_FORWARD,0.49999999999975,,0.999999999999,3.83031736496505e-195,0.0,,0.49999999999975,0.49999999999975,1.9151586824834824e-195,0.0,9.850015461662163e-20
Armando Broja,everton,FW,334,334,True,NON_ST,INSIDE_FORWARD,0.9999999999989327,81.92699999999999,0.0,ST_FINISHER,0.49999999999975,0.9999999999989327,,,,6.731293335717192e-14,0.49999999999971634,0.49999999999975,2.19715637587519e-105,0.0,3.3656466678602786e-14
Beto,everton,FW,1534,1534,False,ST,ST_FINISHER,0.999999999999,38.263000000000005,-0.40880639105422356,INSIDE_FORWARD,0.49999999999975,,0.999999999999,7.902999421925635e-260,0.0,,0.49999999999975,0.49999999999975,3.951499710964793e-260,0.0,2.2473821835887585e-18
Dominic Calvert-Lewin,everton,FW,1609,1609,False,ST,ST_FINISHER,0.999999999999,38.913,-0.3619478180155889,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,4.155829975586522e-19
