Player,Squad,Pos,Min,Min_num,low_min_flag,df_post,cb_role,cb_role_proba,cb_role_cluster,p_cb_role_CB_DUEL,p_cb_role_CB_HYBRID,p_cb_role_CB_BUILDER
Cameron Burgess,ipswich town,DF,1541,1541,False,CB,CB_DUEL,0.9999996040109167,0,0.9999996040109167,3.9598808328153657e-07,2.665753083787699e-26
Dara O'Shea,ipswich town,DF,3122,3122,False,CB,CB_DUEL,0.9999997410766186,0,0.9999997410766186,2.58922381405391e-07,3.57517538178728e-31
George Edmundson,ipswich town,DF,2,2,True,CB,CB_DUEL,0.999999999999,0,0.999999999999,5.284687344528673e-21,2.1323483576759677e-98
Jacob Greaves,ipswich town,DF,2205,2205,False,CB,CB_DUEL,0.9999380972565849,0,0.9999380972565849,6.190274241509268e-05,1.082606843646335e-27
Luke Woolfenden,ipswich town,DF,1187,1187,False,CB,CB_DUEL,0.999691224910204,0,0.999691224910204,0.0003087750887959116,1.67417947085786e-38
Caleb Okoli,leicester city,DF,1125,1125,False,CB,CB_DUEL,0.9999097841550015,0,0.9999097841550015,9.021584399851733e-05,1.7157195872714957e-38
Conor Coady,leicester city,DF,1714,1714,False,CB,CB_HYBRID,0.7651521647230831,1,0.2348478352759167,0.7651521647230831,4.43550392744566e-43
Jannik Vestergaard,leicester city,DF,1391,1391,False,CB,CB_DUEL,0.8841661467483085,0,0.8841661467483085,0.11583385325069141,5.4073415507568534e-30
Olabade Aluko,leicester city,DF,2,2,True,CB,CB_DUEL,0.9999999999989689,0,0.9999999999989689,3.1132883567468506e-14,4.7618736545484457e-94
Wout Faes,leicester city,DF,2815,2815,False,CB,CB_DUEL,0.9843841043398469,0,0.9843841043398469,0.015615895659153119,8.818858896958677e-30
Ibrahima Konaté,liverpool,DF,2560,2560,False,CB,CB_HYBRID,0.9999918715775571,1,2.1161829168552905e-07,0.9999918715775571,7.916803151304301e-06
Jarell Quansah,liverpool,DF,495,495,True,CB,CB_HYBRID,0.9994788503667263,1,0.0005211496322736837,0.9994788503667263,3.664545173187137e-17
Joe Gomez,liverpool,DF,519,519,True,CB,CB_HYBRID,0.9978712530587102,1,3.513781194214145e-12,0.9978712530587102,0.0021287469367759575
Virgil van Dijk,liverpool,DF,3330,3330,False,CB,CB_BUILDER,0.9999932470406119,2,6.282096227280036e-24,6.7529583881079906e-06,0.9999932470406119
Abdukodir Khusanov,manchester city,DF,503,503,True,CB,CB_HYBRID,0.9999888984686238,1,1.110153037614639e-05,0.9999888984686238,4.2123733925963875e-17
Jahmai Simpson-Pusey,manchester city,DF,96,96,True,CB,CB_HYBRID,0.9999999657901144,1,3.420888560379608e-08,0.9999999657901144,2.036821476332876e-28
Vitor Reis,manchester city,DF,1,1,True,CB,CB_DUEL,0.9243849193787959,0,0.9243849193787959,0.0756150806202042,4.424491912758731e-87
Ayden Heaven,manchester utd,DF,170,170,True,CB,CB_DUEL,0.8949832268711403,0,0.8949832268711403,0.10501677312785977,1.4074539752774582e-35
Harry Maguire,manchester utd,DF,1758,1758,False,CB,CB_DUEL,0.998422154333418,0,0.998422154333418,0.0015778456655819338,6.971599368833233e-26
Jonny Evans,manchester utd,DF,315,315,True,CB,CB_DUEL,0.994641794571163,0,0.994641794571163,0.005358205427837074,5.827484169059295e-26
Leny Yoro,manchester utd,DF,1165,1165,False,CB,CB_HYBRID,0.999958640132151,1,4.135986684902651e-05,0.999958640132151,1.398568318111266e-23
Lisandro Martínez,manchester utd,DF,1751,1751,False,CB,CB_HYBRID,0.9999999999559538,1,4.0662752268077705e-12,0.9999999999559538,3.897995092913415e-11
Matthijs de Ligt,manchester utd,DF,2123,2123,False,CB,CB_DUEL,0.98881763867882,0,0.98881763867882,0.011182361320180108,5.621348755010657e-28
Tyler Fredricson,manchester utd,DF,165,165,True,CB,CB_HYBRID,0.9159364614478889,1,0.08406353855110991,0.9159364614478889,1.2008347462111284e-15
Victor Lindelöf,manchester utd,DF,704,704,False,CB,CB_DUEL,0.8095015036127801,0,0.8095015036127801,0.1904984963862199,6.258780723967506e-34
Dan Burn,newcastle utd,DF,3330,3330,False,CB,CB_DUEL,0.999521653403049,0,0.999521653403049,0.00047834659595094624,2.5449664512880916e-43
Emil Krafth,newcastle utd,DF,342,342,True,CB,CB_DUEL,0.9999812618378845,0,0.9999812618378845,1.8738161115479037e-05,9.135357128746e-46
Fabian Schär,newcastle utd,DF,2934,2934,False,CB,CB_HYBRID,0.9998723855546222,1,0.00012705906034506776,0.9998723855546222,5.553840326220641e-07
Lloyd Kelly,newcastle utd,DF,303,303,True,CB,CB_DUEL,0.9999408764635667,0,0.9999408764635667,5.9123535433226744e-05,1.3956871789450108e-40
Sven Botman,newcastle utd,DF,412,412,True,CB,CB_DUEL,0.999737998472045,0,0.999737998472045,0.0002620015269549726,2.677736251604346e-27
Morato,nott'ham forest,DF,907,907,False,CB,CB_DUEL,0.9999999997436531,0,0.9999999997436531,2.55346980979493e-10,1.5852489531530023e-53
Murillo,nott'ham forest,DF,3188,3188,False,CB,CB_DUEL,0.9999491573015293,0,0.9999491573015293,5.084269747066477e-05,8.22096908701195e-20
