Player,Squad,Pos,Min,Min_num,low_min_flag,df_post,df_post_proba,p_CB,p_FB_WB
Chris Richards,crystal palace,DF,1922,1922,False,CB,0.9999927445288489,0.9999927445288489,7.255470151004763e-06
Daniel Muñoz,crystal palace,DF,3228,3228,False,FB_WB,0.9999999999989999,7.450599605904051e-40,0.9999999999989999
Joachim Andersen,crystal palace,DF,90,90,True,CB,0.9999999999989992,0.9999999999989992,7.324698636874851e-16
Joel Ward,crystal palace,DF,71,71,True,CB,0.992216202383215,0.992216202383215,0.0077837976157904025
Marc Guéhi,crystal palace,DF,3059,3059,False,CB,0.9999999244649213,0.9999999244649213,7.553407868535721e-08
Maxence Lacroix,crystal palace,DF,3116,3116,False,CB,0.9999999999966733,0.9999999999966733,2.3266157433738523e-12
Trevoh Chalobah,crystal palace,DF,1060,1060,False,CB,0.9890892226096393,0.9890892226096393,0.010910777389367753
Tyrick Mitchell,crystal palace,DF,3092,3092,False,FB_WB,0.9999999999989999,4.40407771584713e-63,0.9999999999989999
Ashley Young,everton,DF,1875,1875,False,FB_WB,0.9999999999989999,6.395734435526595e-88,0.9999999999989999
Jake O'Brien,everton,DF,1571,1571,False,FB_WB,0.9986453956097819,0.0013546043892190675,0.9986453956097819
James Tarkowski,everton,DF,2922,2922,False,CB,0.9999999999989468,0.9999999999989468,5.3021680046509704e-14
Jarrad Branthwaite,everton,DF,2511,2511,False,CB,0.9999999944427644,0.9999999944427644,5.556235379321346e-09
Michael Keane,everton,DF,1049,1049,False,CB,0.9999999980948515,0.9999999980948515,1.904148491049621e-09
Nathan Patterson,everton,DF,347,347,True,FB_WB,0.9999999999989999,3.8802641381348744e-98,0.9999999999989999
Roman Dixon,everton,DF,90,90,True,CB,0.9697202643501109,0.9697202643501109,0.030279735648906642
Séamus Coleman,everton,DF,215,215,True,FB_WB,0.9999999999989999,2.9136221995928435e-18,0.9999999999989999
Vitaliy Mykolenko,everton,DF,3082,3082,False,FB_WB,0.9999999999989999,4.1935246808631163e-57,0.9999999999989999
Antonee Robinson,fulham,DF,3167,3167,False,FB_WB,0.9999999999989999,4.520757116371261e-168,0.9999999999989999
Calvin Bassey,fulham,DF,3074,3074,False,CB,0.9999999109852383,0.9999999109852383,8.90137616202594e-08
Issa Diop,fulham,DF,1339,1339,False,CB,0.9999999110404239,0.9999999110404239,8.895857615309455e-08
Joachim Andersen,fulham,DF,2583,2583,False,CB,0.9999999999989959,0.9999999999989959,3.929893776137714e-15
Jorge Cuenca,fulham,DF,351,351,True,CB,0.9999999999946965,0.9999999999946965,4.3033556922772e-12
Kenny Tete,fulham,DF,1774,1774,False,FB_WB,0.9999999999989999,7.4408298612672954e-34,0.9999999999989999
Timothy Castagne,fulham,DF,1649,1649,False,FB_WB,0.9999999999989999,4.941768416798856e-30,0.9999999999989999
Axel Tuanzebe,ipswich town,DF,1710,1710,False,FB_WB,0.8207169738154059,0.17928302618366443,0.8207169738154059
Ben Godfrey,ipswich town,DF,159,159,True,FB_WB,0.7142989382783376,0.28570106172075477,0.7142989382783376
Cameron Burgess,ipswich town,DF,1541,1541,False,CB,0.9999999999989999,0.9999999999989999,1.0925624767262798e-23
Conor Townsend,ipswich town,DF,335,335,True,FB_WB,0.9999999999989999,6.651397188757673e-61,0.9999999999989999
Dara O'Shea,ipswich town,DF,3122,3122,False,CB,0.9999999999989788,0.9999999999989788,2.1094815057978635e-14
George Edmundson,ipswich town,DF,2,2,True,CB,0.9170424375044884,0.9170424375044884,0.08295756249455193
Harry Clarke,ipswich town,DF,379,379,True,FB_WB,0.9999999999985828,4.1717710776040725e-13,0.9999999999985828
Jacob Greaves,ipswich town,DF,2205,2205,False,CB,0.9999999999989111,0.9999999999989111,8.882339992685557e-14
Leif Davis,ipswich town,DF,2743,2743,False,FB_WB,0.9999999999989999,8.287676502639861e-184,0.9999999999989999
Luke Woolfenden,ipswich town,DF,1187,1187,False,CB,0.9999999999980588,0.9999999999980588,9.41118834685192e-13
Caleb Okoli,leicester city,DF,1125,1125,False,CB,0.9999999999989992,0.9999999999989992,6.818870710137691e-16
Conor Coady,leicester city,DF,1714,1714,False,CB,0.9999999999982861,0.9999999999982861,7.138054180097968e-13
James Justin,leicester city,DF,2912,2912,False,FB_WB,0.9999999999989999,3.940522705479422e-21,0.9999999999989999
Jannik Vestergaard,leicester city,DF,1391,1391,False,CB,0.9999999999989966,0.9999999999989966,3.3133333709389767e-15
Luke Thomas,leicester city,DF,1110,1110,False,FB_WB,0.9999999999989999,1.0074874052712147e-33,0.9999999999989999
Olabade Aluko,leicester city,DF,2,2,True,CB,0.9745342445091015,0.9745342445091015,0.025465755489913595
Ricardo Pereira,leicester city,DF,388,388,True,FB_WB,0.9999192180705913,8.078192840871942e-05,0.9999192180705913
Victor Bernth Kristiansen,leicester city,DF,2482,2482,False,FB_WB,0.9999999999989999,3.975808671899647e-79,0.9999999999989999
Wout Faes,leicester city,DF,2815,2815,False,CB,0.9999999999845258,0.9999999999845258,1.447417083334614e-11
Woyo Coulibaly,leicester city,DF,109,109,True,FB_WB,0.9999999999989955,4.542419452320712e-15,0.9999999999989955
Andrew Robertson,liverpool,DF,2482,2482,False,FB_WB,0.9999999999989999,1.052649121202618e-202,0.9999999999989999
Conor Bradley,liverpool,DF,754,754,True,FB_WB,0.9999999999989999,2.597144844572301e-31,0.9999999999989999
Ibrahima Konaté,liverpool,DF,2560,2560,False,CB,0.99999829308978,0.99999829308978,1.7069092198993792e-06
Jarell Quansah,liverpool,DF,495,495,True,CB,0.9999999999989999,0.9999999999989999,1.869758827385351e-18
Joe Gomez,liverpool,DF,519,519,True,CB,0.9999992174332727,0.9999992174332727,7.825657272588577e-07
Kostas Tsimikas,liverpool,DF,837,837,True,FB_WB,0.9999999999989999,0.0,0.9999999999989999
Trent Alexander-Arnold,liverpool,DF,2365,2365,False,FB_WB,0.9999999999989999,1.6328926949726848e-243,0.9999999999989999
Virgil van Dijk,liverpool,DF,3330,3330,False,CB,0.9999999999989786,0.9999999999989786,2.142608492748873e-14
Abdukodir Khusanov,manchester city,DF,503,503,True,CB,0.9999993449983267,0.9999993449983267,6.550006733567813e-07
Jahmai Simpson-Pusey,manchester city,DF,96,96,True,CB,0.9997724545047666,0.9997724545047666,0.0002275454942334798
Joško Gvardiol,manchester city,DF,3277,3277,False,FB_WB,0.9999999999989999,7.831312116428696e-34,0.9999999999989999
Kyle Walker,manchester city,DF,970,970,False,FB_WB,0.9999999999989999,9.413934548588984e-33,0.9999999999989999
