Player,Squad,fw_post,fw_role,Rk,Nation,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 38,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 56,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Pass_Short_Cmp,Pass_Short_Att,Pass_Short_Cmp%,Pass_Med_Cmp,Pass_Med_Att,Pass_Med_Cmp%,Pass_Long_Cmp,Pass_Long_Att,Pass_Long_Cmp%,Ast.2,xAG.2,xA,A-xAG,KP,FinalThird_Pass,PPA,CrsPA,PrgP.1,Unnamed: 80,PassType_Att,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Switch,Pass_Cross,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Straight,Pass_Cmp.1,Pass_Offside,Pass_Blocked,Unnamed: 96,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_Def,Unnamed: 113,Tackles,Tackles_Won,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks_Total,Shots_Blocked,Passes_Blocked,Interceptions,Tackles_Interceptions,Clearances,Errors_LeadingShot,Unnamed: 130,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TakeOn_Att,TakeOn_Succ,TakeOn_Succ%,TakeOn_Tackled,TakeOn_Tackled%,Carries,Carry_TotDist,Carry_PrgDist,PrgC.1,Carry_FinalThird,Carry_PenArea,Miscontrols,Dispossessed,Rec,PrgR.1,Unnamed: 153,CrdY.1,CrdR.1,2CrdY,Fls,Fld,Offsides,Crs,Interceptions.1,Tackles_Won.1,PKwon,PKcon,OG,Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won%,Min_num,minutes_flag,fw_post_score_raw,fw_post_rating_0100,fw_role_score_raw,fw_role_rating_0100,fw_role_rating_shrunk_0100,n_post,n_role,role_sample_flag
Dango Ouattara,bournemouth,NON_ST,WIDE_WINGER,80,bf BFA,FW,22.0,2002.0,32,21,2005,22.3,0.31,0.18,0.49,0.31,0.0,0.0,0.13,0.0,0.38,0.38,0.25,0.62,3.54,1.93,8.57,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,FW,0.31,2.78,0.9,32.3,2.78,0.9,0.11,0.35,13.5,0.04,0.0,0.0,0.38,0.38,0.14,-0.06,-0.06,,16.5,27.4,60.0,256.7,76.5,9.42,12.9,72.9,5.38,8.65,62.2,1.12,3.0,37.3,0.18,0.25,0.15,-0.07,1.57,0.94,1.17,0.49,1.93,,27.4,26.0,1.35,0.0,0.22,0.22,3.95,1.17,0.13,0.04,0.0,0.0,16.5,0.13,0.99,,3.23,3.23,2.56,0.0,0.13,0.45,0.04,0.04,0.27,0.27,0.18,0.0,0.04,0.04,0.0,0.0,,1.57,1.17,0.63,0.49,0.45,0.76,1.84,41.5,1.08,1.61,0.45,1.17,0.49,2.06,2.29,0.0,,43.0,2.78,7.4,14.2,22.3,5.74,43.0,3.68,1.75,47.6,1.52,41.5,22.1,160.4,79.7,3.54,1.57,1.7,2.83,1.43,25.9,8.57,,0.13,0.0,0.0,0.72,0.85,0.63,3.95,0.49,1.17,0.0,0.0,0.0,4.13,2.02,2.83,41.7,2005,OK,0.2559307512251184,72.72727272727273,0.5097185363195892,88.88888888888889,83.11688311688312,44.0,18.0,OK
Evanilson,bournemouth,ST,ST_FINISHER,82,br BRA,FW,24.0,1999.0,31,28,2319,25.8,0.39,0.04,0.43,0.39,0.0,0.04,0.04,0.04,0.48,0.45,0.07,0.53,1.12,1.09,3.84,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53,FW,0.39,2.79,1.2,43.1,2.79,1.2,0.14,0.32,12.8,0.0,0.0,0.04,0.48,0.45,0.16,-0.1,-0.07,,9.46,13.3,71.3,117.8,24.1,5.97,7.83,76.2,2.09,2.79,75.0,0.43,0.62,68.8,0.04,0.07,0.07,-0.03,1.01,0.54,0.23,0.0,1.09,,13.3,13.1,0.16,0.04,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,9.46,0.04,0.43,,2.36,2.37,1.51,0.0,0.12,0.39,0.35,0.0,0.31,0.31,0.08,0.0,0.04,0.04,0.16,0.0,,0.62,0.39,0.23,0.19,0.19,0.31,0.47,66.7,0.16,0.43,0.08,0.35,0.04,0.66,0.81,0.0,,21.6,0.89,2.17,8.06,11.6,4.92,21.6,0.81,0.27,33.3,0.31,38.1,12.9,70.6,33.4,1.12,0.7,0.58,1.47,0.93,15.5,3.84,,0.04,0.04,0.0,1.43,2.05,0.78,0.0,0.04,0.39,0.19,0.0,0.0,2.6,1.63,2.4,40.4,2319,OK,0.18189661792126266,53.65853658536586,0.49279072824375997,73.33333333333333,68.41463414634147,41.0,30.0,OK
Antoine Semenyo,bournemouth,NON_ST,INSIDE_FORWARD,78,gh GHA,FW,24.0,2000.0,37,36,3203,35.6,0.31,0.14,0.45,0.31,0.0,0.0,0.25,0.0,0.28,0.28,0.16,0.44,3.93,3.06,7.92,0.31,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44,FW,0.31,3.51,1.12,32.0,3.51,1.12,0.09,0.28,17.0,0.0,0.0,0.0,0.28,0.28,0.08,0.03,0.03,,23.1,31.4,73.4,327.9,81.9,14.1,16.5,85.5,7.08,9.38,75.4,1.04,2.72,38.1,0.14,0.16,0.12,-0.02,1.29,1.38,1.26,0.22,3.06,,31.4,29.5,1.69,0.11,0.25,0.17,1.66,1.49,0.08,0.0,0.03,0.0,23.1,0.28,1.12,,3.71,3.71,2.39,0.11,0.59,0.42,0.14,0.06,0.37,0.37,0.2,0.03,0.06,0.03,0.06,0.0,,1.54,0.98,0.48,0.7,0.37,0.45,1.21,37.2,0.76,1.88,0.25,1.63,0.31,1.85,1.1,0.06,,46.4,1.29,5.79,16.1,25.5,5.37,46.4,3.79,1.94,51.1,1.6,42.2,27.5,206.5,100.6,3.93,1.94,1.88,2.36,2.16,32.0,7.92,,0.25,0.0,0.0,2.05,1.04,0.42,1.66,0.31,0.98,0.03,0.0,0.0,4.44,1.85,2.13,46.5,3203,OK,-0.042804389451320375,47.72727272727273,0.012226128761733714,61.53846153846154,57.7020202020202,44.0,26.0,OK
Daniel Jebbison,bournemouth,NON_ST,INSIDE_FORWARD,81,ca CAN,FW,20.0,2003.0,16,0,119,1.3,0.77,0.0,0.77,0.77,0.0,0.0,0.77,0.0,0.77,0.77,0.15,0.92,3.08,2.31,12.3,0.76,0.0,0.76,0.76,0.76,0.75,0.15,0.9,0.75,0.9,FW,0.77,3.85,1.54,40.0,3.78,1.51,0.2,0.5,10.6,0.0,0.0,0.0,0.77,0.77,0.2,0.0,0.0,,25.4,32.3,78.6,277.7,33.8,16.2,17.7,91.3,2.31,3.85,60.0,0.77,1.54,50.0,0.0,0.15,0.08,-0.15,2.31,0.77,0.77,0.0,2.31,,32.3,32.3,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,25.4,0.0,0.77,,4.62,4.54,3.08,0.0,0.77,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.85,2.31,2.31,1.54,0.0,3.08,4.62,66.7,1.54,1.54,0.77,0.77,0.77,4.62,0.77,0.0,,60.0,2.31,7.69,19.2,33.8,10.8,60.0,5.38,3.08,57.1,2.31,42.9,33.8,213.1,73.1,3.08,1.54,3.85,10.0,3.85,36.2,12.3,,0.77,0.0,0.0,1.54,3.08,0.0,2.31,0.77,2.31,0.0,0.0,0.0,7.69,1.54,7.69,16.7,119,LOW_MIN,0.7051607605310337,93.18181818181817,0.6380099792683297,92.3076923076923,92.55050505050505,44.0,26.0,OK
Kevin Schade,brentford,NON_ST,INSIDE_FORWARD,109,de GER,FW,22.0,2001.0,38,26,2293,25.5,0.43,0.08,0.51,0.43,0.0,0.0,0.12,0.0,0.32,0.32,0.15,0.47,2.39,1.49,6.47,0.43,0.08,0.51,0.43,0.51,0.32,0.14,0.47,0.32,0.47,FW,0.43,2.16,1.06,49.1,2.16,1.06,0.2,0.41,11.5,0.0,0.0,0.0,0.32,0.32,0.15,0.11,0.11,,12.7,21.2,59.7,193.3,54.5,7.25,10.4,69.8,4.35,7.06,61.7,0.71,1.69,41.9,0.08,0.15,0.07,-0.07,0.9,1.25,0.43,0.12,1.49,,21.2,18.9,2.24,0.0,0.04,0.16,1.49,2.12,0.0,0.0,0.0,0.0,12.7,0.04,0.78,,2.24,2.24,1.37,0.24,0.24,0.16,0.2,0.04,0.35,0.35,0.2,0.0,0.04,0.12,0.0,0.0,,1.53,0.98,0.67,0.39,0.47,0.51,0.9,56.5,0.39,0.75,0.16,0.59,0.2,1.73,1.33,0.0,,34.6,1.69,6.04,9.33,19.9,5.73,34.6,3.49,1.18,33.7,2.04,58.4,17.0,121.0,53.2,2.39,1.1,1.49,2.35,1.41,21.3,6.47,,0.12,0.0,0.0,0.82,1.49,0.51,1.49,0.2,0.98,0.04,0.0,0.0,3.25,3.53,3.14,52.9,2293,OK,-0.1145738186557221,45.45454545454545,-0.06988650626498814,53.84615384615385,51.515151515151516,44.0,26.0,OK
Yoane Wissa,brentford,ST,ST_RUNNER,108,cd COD,FW,27.0,1996.0,35,34,2919,32.4,0.59,0.12,0.71,0.59,0.0,0.0,0.15,0.0,0.57,0.57,0.08,0.65,1.85,2.07,4.75,0.59,0.12,0.71,0.59,0.71,0.57,0.08,0.65,0.57,0.65,FW,0.59,2.78,1.27,45.6,2.77,1.26,0.21,0.46,13.2,0.0,0.0,0.0,0.57,0.57,0.21,0.02,0.02,,13.9,18.1,76.5,200.3,49.9,8.77,10.2,85.8,3.83,5.12,74.7,0.86,1.51,57.1,0.12,0.08,0.06,0.04,0.83,1.36,0.4,0.03,2.07,,18.1,17.0,1.02,0.12,0.15,0.03,0.62,0.06,0.03,0.0,0.0,0.0,13.9,0.09,0.71,,2.13,2.13,1.23,0.03,0.12,0.4,0.31,0.03,0.31,0.31,0.25,0.0,0.0,0.03,0.03,0.0,,0.68,0.37,0.19,0.25,0.25,0.34,0.83,40.7,0.49,0.9,0.25,0.65,0.25,0.93,0.65,0.09,,28.5,1.05,4.2,11.6,13.3,5.03,28.5,1.51,0.46,30.6,0.74,49.0,17.0,107.1,51.3,1.85,0.8,1.05,2.38,1.08,20.3,4.75,,0.15,0.0,0.0,1.05,1.57,0.43,0.62,0.25,0.37,0.03,0.0,0.0,2.5,0.93,1.11,45.5,2919,OK,0.6112698959518452,78.04878048780488,-0.04273481052390248,42.857142857142854,63.55810616929699,41.0,7.0,OK
Bryan Mbeumo,brentford,NON_ST,WIDE_WINGER,110,cm CMR,FW,24.0,1999.0,38,38,3414,37.9,0.53,0.18,0.71,0.4,0.13,0.16,0.08,0.0,0.32,0.2,0.22,0.42,3.43,3.72,9.26,0.53,0.18,0.71,0.4,0.58,0.32,0.22,0.54,0.2,0.42,FW,0.53,2.08,0.9,43.0,2.08,0.9,0.19,0.44,17.9,0.16,0.13,0.16,0.32,0.2,0.1,0.2,0.2,,23.0,34.8,66.1,366.8,114.1,12.6,15.9,79.1,8.26,11.6,71.0,1.79,4.83,37.2,0.18,0.22,0.25,-0.03,1.85,1.66,1.56,0.5,3.72,,34.8,30.7,3.93,1.06,0.34,0.24,5.33,0.45,2.3,1.85,0.05,0.0,23.0,0.21,1.32,,3.8,3.8,2.59,0.61,0.29,0.21,0.11,0.0,0.53,0.53,0.29,0.08,0.05,0.08,0.03,0.0,,1.29,0.82,0.47,0.4,0.42,0.55,0.92,60.0,0.37,0.69,0.08,0.61,0.37,1.66,1.45,0.03,,47.0,1.64,6.49,15.0,26.3,4.43,46.8,2.93,1.37,46.8,1.24,42.3,28.4,177.3,92.8,3.43,1.82,1.98,2.8,1.24,31.8,9.26,,0.08,0.0,0.0,0.66,1.16,0.29,5.33,0.37,0.82,0.0,0.0,0.0,4.12,0.9,1.95,31.5,3414,OK,0.29441028186499485,75.0,0.3376754021605083,83.33333333333334,80.35714285714286,44.0,18.0,OK
Danny Welbeck,brighton,ST,ST_FINISHER,140,eng ENG,FW,33.0,1990.0,30,24,2115,23.5,0.43,0.17,0.6,0.38,0.04,0.04,0.21,0.0,0.41,0.37,0.06,0.43,0.89,2.0,4.04,0.43,0.17,0.6,0.38,0.55,0.41,0.06,0.46,0.37,0.43,FW,0.43,2.51,0.98,39.0,2.51,0.98,0.15,0.39,15.3,0.38,0.04,0.04,0.41,0.37,0.15,0.02,0.01,,17.7,20.9,84.9,210.0,42.9,11.8,13.4,87.7,3.87,4.47,86.7,0.47,0.51,91.7,0.17,0.06,0.06,0.11,0.98,0.77,0.6,0.0,2.0,,20.9,20.1,0.77,0.09,0.0,0.0,0.13,0.09,0.0,0.0,0.0,0.0,17.7,0.04,0.55,,2.26,2.26,1.66,0.04,0.13,0.17,0.26,0.0,0.34,0.34,0.3,0.0,0.0,0.04,0.0,0.0,,1.11,0.68,0.26,0.64,0.21,0.34,0.85,40.0,0.51,0.81,0.17,0.64,0.21,1.32,0.6,0.0,,30.9,0.77,2.47,13.5,15.1,4.34,30.9,1.57,0.55,35.1,0.89,56.8,19.1,87.9,37.9,0.89,0.98,0.34,2.09,1.19,23.3,4.04,,0.21,0.0,0.0,0.47,0.98,0.17,0.13,0.21,0.68,0.0,0.0,0.0,1.96,0.72,1.36,34.7,2115,OK,0.3397642095487057,65.85365853658537,0.6895666199086484,86.66666666666667,81.46341463414635,41.0,30.0,OK
Harry Howell,brighton,NON_ST,INSIDE_FORWARD,141,eng ENG,FW,15.0,2008.0,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,80.0,90.0,88.9,1000.0,80.0,40.0,40.0,100.0,30.0,40.0,75.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,10.0,10.0,0.0,0.0,10.0,20.0,50.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,,120.0,10.0,10.0,70.0,40.0,30.0,120.0,0.0,0.0,,0.0,,90.0,480.0,80.0,0.0,0.0,10.0,0.0,0.0,100.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,7,LOW_MIN,0.5922739022596406,86.36363636363636,0.30032617265859507,73.07692307692307,76.76767676767676,44.0,26.0,OK
Evan Ferguson,brighton,ST,ST_FINISHER,142,ie IRL,FW,19.0,2004.0,13,2,246,2.7,0.37,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.19,0.19,0.15,0.37,0.74,0.37,3.33,0.37,0.0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35,FW,0.37,2.59,0.74,28.6,2.56,0.73,0.14,0.5,19.2,0.37,0.0,0.0,0.19,0.19,0.08,0.19,0.19,,15.9,21.5,74.1,179.3,16.3,11.5,13.3,86.1,2.96,4.07,72.7,0.37,1.48,25.0,0.0,0.15,0.15,-0.15,1.11,0.37,0.0,0.0,0.37,,21.5,19.3,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.37,0.37,,1.48,1.47,1.11,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.48,1.11,0.0,1.11,0.37,0.74,1.85,40.0,1.11,1.11,0.37,0.74,0.0,1.48,1.48,0.0,,32.6,2.59,4.81,18.5,9.63,3.33,32.6,0.74,0.37,50.0,0.37,50.0,15.6,67.8,20.7,0.74,0.37,0.74,1.85,2.22,19.3,3.33,,0.0,0.0,0.0,1.11,0.37,0.0,0.0,0.0,1.11,0.0,0.0,0.0,3.7,1.48,3.33,30.8,246,LOW_MIN,-0.22014716700763767,34.146341463414636,0.06097398373204441,46.666666666666664,43.53658536585366,41.0,30.0,OK
Jadon Sancho,chelsea,NON_ST,WIDE_WINGER,164,eng ENG,FW,24.0,2000.0,31,19,1764,19.6,0.15,0.2,0.36,0.15,0.0,0.0,0.1,0.0,0.11,0.11,0.19,0.3,5.2,4.59,11.5,0.15,0.2,0.36,0.15,0.36,0.11,0.19,0.3,0.11,0.3,FW,0.15,1.22,0.41,33.3,1.22,0.41,0.13,0.38,15.1,0.0,0.0,0.0,0.11,0.11,0.09,0.04,0.04,,33.8,41.0,82.6,455.7,106.8,21.2,23.7,89.5,10.6,12.8,83.2,0.71,1.38,51.9,0.2,0.19,0.16,0.02,1.94,1.43,2.45,0.0,4.59,,41.0,40.4,0.56,0.05,0.36,0.05,1.28,0.46,0.05,0.05,0.0,0.0,33.8,0.05,1.22,,3.57,3.57,3.21,0.0,0.15,0.05,0.15,0.0,0.51,0.51,0.46,0.0,0.0,0.0,0.05,0.0,,0.66,0.36,0.15,0.15,0.36,0.26,0.61,41.7,0.36,0.56,0.0,0.56,0.1,0.77,0.41,0.1,,49.7,0.66,5.97,14.4,29.8,6.17,49.7,4.95,2.3,46.4,2.04,41.2,33.3,227.0,124.2,5.2,1.79,2.91,1.53,1.07,38.8,11.5,,0.1,0.0,0.0,0.31,0.56,0.31,1.28,0.1,0.36,0.1,0.0,0.0,5.05,0.31,0.56,35.3,1764,OK,-0.17967492466867574,38.63636363636363,-0.06883185068962829,50.0,45.94155844155844,44.0,18.0,OK
Noni Madueke,chelsea,NON_ST,INSIDE_FORWARD,168,eng ENG,FW,22.0,2002.0,32,27,2033,22.6,0.31,0.13,0.44,0.31,0.0,0.0,0.13,0.0,0.42,0.42,0.19,0.62,6.81,3.05,10.0,0.31,0.13,0.44,0.31,0.44,0.43,0.19,0.61,0.43,0.61,FW,0.31,3.54,1.33,37.5,3.54,1.33,0.09,0.23,14.4,0.0,0.0,0.0,0.42,0.42,0.12,-0.12,-0.12,,23.5,30.3,77.4,340.9,82.0,14.4,16.7,86.2,7.26,9.51,76.3,0.97,1.81,53.7,0.13,0.19,0.14,-0.05,1.42,0.71,1.55,0.35,3.05,,30.3,29.2,0.88,0.04,0.04,0.18,2.79,0.8,0.04,0.0,0.0,0.0,23.5,0.22,0.66,,3.5,3.5,2.52,0.0,0.44,0.31,0.18,0.04,0.35,0.35,0.22,0.0,0.0,0.04,0.04,0.04,,1.11,0.8,0.35,0.53,0.22,0.62,1.68,36.8,1.06,0.75,0.0,0.75,0.44,1.55,0.49,0.0,,43.4,0.97,4.47,13.3,26.3,8.14,43.4,4.51,1.99,44.1,2.04,45.1,28.4,239.5,154.2,6.81,2.21,4.12,2.3,1.11,33.5,10.0,,0.13,0.0,0.0,0.97,1.11,0.22,2.79,0.44,0.8,0.0,0.0,0.0,3.72,0.49,0.84,36.7,2033,OK,0.4194148710681406,84.0909090909091,0.46325908423078405,84.61538461538461,84.46969696969697,44.0,26.0,OK
Nicolas Jackson,chelsea,ST,ST_RUNNER,169,sn SEN,FW,23.0,2001.0,30,28,2220,24.7,0.4,0.2,0.61,0.4,0.0,0.0,0.28,0.04,0.5,0.5,0.17,0.67,1.9,1.54,5.22,0.41,0.2,0.61,0.41,0.61,0.5,0.17,0.67,0.5,0.67,FW,0.4,3.08,1.38,44.7,3.08,1.38,0.13,0.29,12.9,0.0,0.0,0.0,0.5,0.5,0.16,-0.09,-0.09,,12.3,16.2,75.9,165.5,35.8,7.37,9.03,81.6,3.72,4.78,78.0,0.36,0.61,60.0,0.2,0.17,0.08,0.03,1.13,0.89,0.4,0.04,1.54,,16.2,15.6,0.49,0.04,0.04,0.0,0.12,0.16,0.0,0.0,0.0,0.0,12.3,0.08,0.61,,2.79,2.8,1.7,0.0,0.36,0.28,0.36,0.08,0.4,0.41,0.28,0.0,0.08,0.04,0.0,0.0,,0.89,0.53,0.24,0.28,0.36,0.2,0.4,50.0,0.2,0.61,0.08,0.53,0.12,1.01,0.61,0.0,,27.8,0.77,2.02,11.5,14.6,5.71,27.8,2.47,0.73,29.5,1.3,52.5,16.9,101.6,53.3,1.9,1.01,1.3,2.87,1.66,20.8,5.22,,0.28,0.04,0.0,1.42,1.17,0.93,0.12,0.12,0.53,0.0,0.0,0.0,1.94,0.85,1.46,36.8,2220,OK,0.6403259638169594,87.8048780487805,0.14913824681289328,85.71428571428571,86.94404591104734,41.0,7.0,OK
Pedro Neto,chelsea,NON_ST,WIDE_WINGER,166,pt POR,FW,24.0,2000.0,35,24,2269,25.2,0.16,0.24,0.4,0.16,0.0,0.0,0.32,0.0,0.14,0.14,0.27,0.4,5.0,2.38,10.0,0.16,0.24,0.4,0.16,0.4,0.14,0.27,0.4,0.14,0.4,FW,0.16,2.34,0.67,28.8,2.34,0.67,0.07,0.24,18.2,0.0,0.0,0.0,0.14,0.14,0.06,0.02,0.02,,27.9,35.5,78.4,450.3,96.0,13.8,14.8,93.0,10.6,12.9,81.9,2.38,5.04,47.2,0.24,0.27,0.19,-0.03,1.83,1.19,1.47,0.91,2.38,,35.5,32.0,3.41,0.56,0.0,0.2,5.91,0.52,2.22,0.63,0.6,0.2,27.9,0.08,1.03,,3.57,3.57,2.54,0.36,0.24,0.28,0.16,0.0,0.36,0.36,0.2,0.04,0.08,0.04,0.0,0.0,,0.91,0.36,0.36,0.36,0.2,0.36,0.83,42.9,0.48,0.56,0.08,0.48,0.36,1.27,0.24,0.0,,45.8,0.52,3.97,13.3,29.2,4.6,45.8,4.13,1.35,32.7,1.83,44.2,29.6,251.4,132.6,5.0,2.26,1.79,1.79,1.19,33.3,10.0,,0.32,0.0,0.0,0.83,1.31,0.12,5.91,0.36,0.36,0.0,0.0,0.0,3.21,0.44,1.19,26.8,2269,OK,0.38185751583397126,81.81818181818183,0.2741644121929738,77.77777777777779,79.22077922077924,44.0,18.0,OK
Marc Guiu,chelsea,ST,ST_FINISHER,170,es ESP,FW,18.0,2006.0,3,0,73,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,FW,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,13.8,20.0,68.8,137.5,5.0,11.3,16.3,69.2,1.25,2.5,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,,20.0,17.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,,1.25,1.22,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.25,1.25,0.0,1.25,0.0,1.25,1.25,100.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,,27.5,0.0,2.5,10.0,15.0,3.75,27.5,1.25,0.0,0.0,1.25,100.0,15.0,37.5,10.0,0.0,0.0,0.0,2.5,0.0,15.0,3.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,2.5,0.0,1.25,0.0,73,LOW_MIN,-0.8181674681603224,19.51219512195122,-0.5920350620363868,26.666666666666668,24.878048780487806,41.0,30.0,OK
Mykhailo Mudryk,chelsea,NON_ST,WIDE_WINGER,167,ua UKR,FW,23.0,2001.0,7,1,151,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.59,0.71,4.12,2.94,7.06,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73,FW,0.0,0.59,0.59,100.0,0.6,0.6,0.0,0.0,11.6,0.0,0.0,0.0,0.18,0.18,0.25,-0.18,-0.18,,16.5,24.7,66.7,253.5,97.1,10.0,14.1,70.8,5.88,8.82,66.7,0.59,1.18,50.0,0.0,0.59,0.29,-0.59,1.18,1.18,1.18,0.59,2.94,,24.7,23.5,1.18,0.0,0.59,0.0,4.12,0.0,1.18,0.0,0.0,0.0,16.5,0.0,0.59,,3.53,3.6,2.35,0.59,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.18,1.18,1.18,0.0,0.0,0.0,0.0,,0.0,1.76,0.59,1.18,0.0,1.18,0.59,0.0,,36.5,1.76,7.06,8.82,22.4,3.53,36.5,4.71,1.76,37.5,2.94,62.5,22.9,275.3,133.5,4.12,4.71,0.0,1.76,4.12,24.7,7.06,,0.0,0.0,0.0,1.18,1.18,0.59,4.12,0.0,1.18,0.0,0.0,0.0,5.29,1.18,2.35,33.3,151,LOW_MIN,0.7450997638363142,95.45454545454545,0.5953974365968173,94.44444444444444,94.8051948051948,44.0,18.0,OK
Tyrique George,chelsea,NON_ST,WIDE_WINGER,171,eng ENG,FW,18.0,2006.0,8,1,183,2.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.1,0.1,0.35,0.45,4.5,1.5,11.0,0.49,0.49,0.98,0.49,0.98,0.1,0.36,0.46,0.1,0.46,FW,0.5,1.5,0.5,33.3,1.48,0.49,0.33,1.0,15.0,0.0,0.0,0.0,0.1,0.1,0.07,0.4,0.4,,21.5,27.0,79.6,275.5,42.5,12.0,13.5,88.9,8.0,9.5,84.2,0.0,1.5,0.0,0.5,0.35,0.15,0.15,3.0,0.0,0.5,0.0,1.5,,27.0,26.5,0.5,0.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,21.5,0.0,1.0,,3.5,3.44,3.0,0.0,0.5,0.0,0.0,0.0,0.5,0.49,0.5,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.5,66.7,0.5,0.5,0.0,0.5,1.0,2.0,0.5,0.0,,35.0,0.5,5.5,10.5,19.5,4.5,35.0,2.5,1.5,60.0,1.0,40.0,23.0,186.5,104.5,4.5,0.5,2.5,1.5,0.0,26.5,11.0,,0.5,0.0,0.0,1.5,0.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,183,LOW_MIN,-0.39193434762406504,20.454545454545457,-0.47965387897258915,16.666666666666664,18.019480519480517,44.0,18.0,OK
