Player,Squad,df_post,cb_role,fb_role,Rk,Nation,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 38,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 56,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Pass_Short_Cmp,Pass_Short_Att,Pass_Short_Cmp%,Pass_Med_Cmp,Pass_Med_Att,Pass_Med_Cmp%,Pass_Long_Cmp,Pass_Long_Att,Pass_Long_Cmp%,Ast.2,xAG.2,xA,A-xAG,KP,FinalThird_Pass,PPA,CrsPA,PrgP.1,Unnamed: 80,PassType_Att,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Switch,Pass_Cross,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Straight,Pass_Cmp.1,Pass_Offside,Pass_Blocked,Unnamed: 96,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_Def,Unnamed: 113,Tackles,Tackles_Won,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks_Total,Shots_Blocked,Passes_Blocked,Interceptions,Tackles_Interceptions,Clearances,Errors_LeadingShot,Unnamed: 130,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TakeOn_Att,TakeOn_Succ,TakeOn_Succ%,TakeOn_Tackled,TakeOn_Tackled%,Carries,Carry_TotDist,Carry_PrgDist,PrgC.1,Carry_FinalThird,Carry_PenArea,Miscontrols,Dispossessed,Rec,PrgR.1,Unnamed: 153,CrdY.1,CrdR.1,2CrdY,Fls,Fld,Offsides,Crs,Interceptions.1,Tackles_Won.1,PKwon,PKcon,OG,Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won%,Min_num,minutes_flag,df_post_score_raw,df_post_rating_0100,df_role_score_raw,df_role_rating_0100,df_role_rating_shrunk_0100,n_post,n_role,role_sample_flag
Pau Torres,aston villa,CB,CB_HYBRID,,28,es ESP,DF,27.0,1997.0,24,23,2020,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.02,0.02,0.0,0.03,1.79,4.33,0.36,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,DF,0.0,0.36,0.09,25.0,0.36,0.09,0.0,0.0,11.7,0.0,0.0,0.0,0.02,0.02,0.06,-0.02,-0.02,,54.3,61.1,88.9,951.7,353.0,23.3,24.4,95.2,26.9,28.8,93.5,3.53,6.61,53.4,0.0,0.0,0.02,-0.0,0.13,4.91,0.36,0.0,4.33,,61.1,55.7,5.22,2.99,0.18,0.54,0.13,0.13,0.0,0.0,0.0,0.0,54.3,0.18,0.18,,0.63,0.62,0.49,0.0,0.0,0.13,0.0,0.0,0.09,0.09,0.04,0.0,0.0,0.04,0.0,0.0,,0.94,0.67,0.49,0.36,0.09,0.45,0.76,58.8,0.31,0.71,0.49,0.22,0.45,1.38,3.35,0.09,,67.8,10.6,31.3,32.4,4.33,0.76,67.8,0.76,0.67,88.2,0.09,11.8,43.1,283.9,186.4,1.79,1.21,0.0,0.27,0.22,48.7,0.36,,0.09,0.0,0.0,0.36,0.31,0.0,0.13,0.45,0.67,0.0,0.0,0.0,2.77,0.8,1.29,38.3,2020,OK,0.5815762110716154,81.63265306122449,0.12773792776879897,63.888888888888886,67.74622892635315,98.0,36.0,OK
Matty Cash,aston villa,FB_WB,,FB_STAY_HOME,35,pl POL,DF,26.0,1997.0,27,24,2070,23.0,0.04,0.04,0.09,0.04,0.0,0.0,0.3,0.0,0.02,0.02,0.05,0.07,2.09,1.83,3.91,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07,DF,0.04,0.57,0.26,46.2,0.57,0.26,0.08,0.17,18.8,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.02,,31.8,41.1,77.5,529.2,141.7,15.7,17.7,89.2,13.3,16.9,78.7,2.26,4.61,49.1,0.04,0.05,0.06,-0.0,0.43,1.7,0.43,0.22,1.83,,41.1,34.0,7.04,1.0,0.0,0.04,1.74,6.04,0.0,0.0,0.0,0.0,31.8,0.09,0.91,,1.09,1.09,0.96,0.04,0.04,0.0,0.0,0.04,0.17,0.17,0.13,0.0,0.0,0.0,0.0,0.04,,2.43,1.39,1.26,0.91,0.26,1.35,1.87,72.1,0.52,0.96,0.35,0.61,1.0,3.43,3.04,0.09,,51.6,3.91,18.8,20.1,13.2,1.83,51.6,1.74,0.83,47.5,0.7,40.0,25.9,160.9,81.0,2.09,1.65,0.17,0.87,0.43,28.4,3.91,,0.3,0.0,0.0,1.17,0.87,0.04,1.74,1.0,1.39,0.0,0.09,0.0,3.52,0.87,0.87,50.0,2070,OK,-0.5483915044379108,15.909090909090908,-0.3235515717173777,27.77777777777778,25.197628458498023,88.0,36.0,OK
Lucas Digne,aston villa,FB_WB,,FB_WIDE,34,fr FRA,DF,31.0,1993.0,32,28,2351,26.1,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.03,0.03,0.18,0.21,0.88,2.18,5.44,0.0,0.15,0.15,0.0,0.15,0.03,0.18,0.21,0.03,0.21,DF,0.0,0.5,0.11,23.1,0.5,0.11,0.0,0.0,22.7,0.19,0.0,0.0,0.03,0.03,0.06,-0.03,-0.03,,36.6,48.9,74.9,598.0,196.8,18.5,21.0,88.0,14.9,19.0,78.4,2.38,5.94,40.0,0.15,0.18,0.15,-0.03,1.38,1.69,1.15,0.73,2.18,,48.9,39.0,9.89,1.69,0.08,0.15,5.36,5.94,2.18,1.42,0.38,0.0,36.6,0.08,1.57,,2.53,2.53,1.61,0.69,0.04,0.15,0.0,0.04,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,,2.49,1.46,1.53,0.61,0.34,1.69,2.53,66.7,0.84,0.88,0.15,0.73,0.96,3.45,3.41,0.04,,58.5,3.72,20.7,17.5,20.7,1.07,58.5,0.73,0.34,47.4,0.34,47.4,26.2,114.3,51.6,0.88,0.54,0.15,0.65,0.61,31.4,5.44,,0.15,0.0,0.0,0.8,0.61,0.27,5.36,0.96,1.46,0.0,0.0,0.0,3.98,1.42,1.07,56.9,2351,OK,-0.0737521770575414,55.68181818181818,-0.4043592558131577,28.57142857142857,37.31671554252199,88.0,21.0,OK
Ezri Konsa,aston villa,CB,CB_HYBRID,,32,eng ENG,DF,26.0,1997.0,34,33,2936,32.6,0.06,0.0,0.06,0.06,0.0,0.0,0.03,0.0,0.04,0.04,0.01,0.05,0.74,2.76,0.34,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,DF,0.06,0.34,0.15,45.5,0.34,0.15,0.18,0.4,8.8,0.0,0.0,0.0,0.04,0.04,0.12,0.02,0.02,,47.7,51.3,92.9,806.7,269.4,20.5,21.2,96.7,24.8,25.9,95.6,1.9,2.91,65.3,0.0,0.01,0.02,-0.01,0.18,3.25,0.06,0.0,2.76,,51.3,47.2,4.11,2.58,0.18,0.0,0.15,1.04,0.0,0.0,0.0,0.0,47.7,0.03,0.64,,0.74,0.74,0.58,0.06,0.03,0.06,0.0,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,,1.04,0.55,0.61,0.31,0.12,0.61,0.77,80.0,0.15,0.61,0.34,0.28,0.74,1.78,3.5,0.12,,58.7,7.67,27.1,28.7,3.28,0.67,58.7,0.55,0.25,44.4,0.21,38.9,34.7,178.4,92.3,0.74,0.46,0.06,0.52,0.31,41.0,0.34,,0.03,0.0,0.0,0.28,1.44,0.03,0.15,0.74,0.55,0.0,0.0,0.0,2.98,0.95,0.71,57.4,2936,OK,-0.10302335653127974,42.857142857142854,-0.7272788056164573,8.333333333333332,15.838509316770185,98.0,36.0,OK
Kosta Nedeljković,aston villa,FB_WB,,FB_STAY_HOME,29,rs SRB,DF,18.0,2005.0,5,0,126,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,33.6,37.9,88.7,609.3,132.1,15.7,16.4,95.7,15.0,17.9,84.0,2.86,3.57,80.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,4.29,,37.9,29.3,8.57,0.71,0.0,0.0,0.71,7.86,0.0,0.0,0.0,0.0,33.6,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,3.57,0.71,2.14,2.14,1.43,2.14,66.7,0.71,0.71,0.0,0.71,0.0,5.0,2.14,0.0,,47.1,2.86,10.7,22.9,13.6,0.0,47.1,1.43,0.71,50.0,0.71,50.0,19.3,72.1,23.6,0.71,0.0,0.0,0.71,0.0,22.9,0.0,,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.0,3.57,0.0,0.0,0.0,2.86,0.0,0.71,0.0,126,LOW_MIN,-0.5979805203202159,7.954545454545454,-0.496564242826271,11.11111111111111,10.42490118577075,88.0,36.0,OK
Axel Disasi,aston villa,CB,CB_HYBRID,,33,fr FRA,DF,26.0,1998.0,7,5,490,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.02,0.02,0.07,0.09,1.85,2.96,0.93,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,DF,0.0,0.37,0.0,0.0,0.37,0.0,0.0,,19.5,0.0,0.0,0.0,0.02,0.02,0.04,-0.02,-0.02,,45.0,51.9,86.8,755.6,280.9,19.1,20.2,94.5,24.3,27.0,89.7,1.48,2.78,53.3,0.0,0.07,0.06,-0.07,0.56,2.59,0.56,0.0,2.96,,51.9,47.8,3.7,1.67,0.19,0.0,0.19,2.04,0.0,0.0,0.0,0.0,45.0,0.37,0.93,,1.67,1.65,1.3,0.0,0.19,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.48,0.93,1.3,0.19,0.0,0.56,1.3,42.9,0.74,0.74,0.19,0.56,0.93,2.41,3.33,0.0,,61.9,5.93,24.1,33.0,5.37,1.11,61.9,2.78,1.67,60.0,1.11,40.0,38.3,234.8,115.0,1.85,1.48,0.37,0.56,0.37,41.3,0.93,,0.37,0.0,0.0,0.56,0.37,0.37,0.19,0.93,0.93,0.0,0.0,0.0,2.78,1.48,1.11,57.1,490,LOW_MIN,0.23147554936127449,62.244897959183675,-0.37858283815412463,22.22222222222222,30.92280390417036,98.0,36.0,OK
Diego Carlos,aston villa,CB,CB_HYBRID,,36,br BRA,DF,31.0,1993.0,10,8,830,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.07,0.07,0.0,0.07,0.33,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,DF,0.0,0.43,0.11,25.0,0.43,0.11,0.0,0.0,6.7,0.0,0.0,0.0,0.07,0.07,0.16,-0.07,-0.07,,58.0,65.5,88.6,1189.2,446.0,15.0,16.4,91.4,37.1,39.3,94.2,5.87,9.02,65.1,0.0,0.0,0.01,0.0,0.0,2.5,0.11,0.0,3.7,,65.5,62.5,2.72,1.85,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.33,0.0,,0.43,0.43,0.33,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.87,0.33,0.65,0.11,0.11,0.43,0.65,66.7,0.22,1.41,0.76,0.65,0.54,1.41,3.91,0.22,,73.3,9.35,36.0,35.9,1.63,0.65,73.3,0.22,0.22,100.0,0.0,0.0,45.5,231.8,126.3,0.33,0.33,0.0,0.11,0.22,52.3,0.0,,0.11,0.0,0.0,1.2,0.11,0.11,0.0,0.54,0.33,0.0,0.0,0.0,3.91,1.2,1.09,52.4,830,OK,0.2585662563683764,63.26530612244898,-0.15326207866964517,38.88888888888889,44.18811002661934,98.0,36.0,OK
Marcos Senesi,bournemouth,FB_WB,,FB_INVERTED,59,ar ARG,DF,27.0,1997.0,17,13,1106,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.07,0.07,0.02,0.09,0.98,5.04,0.57,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,DF,0.0,0.24,0.0,0.0,0.24,0.0,0.0,,7.9,0.0,0.0,0.0,0.07,0.07,0.28,-0.07,-0.07,,45.6,59.8,76.3,937.9,472.8,16.2,18.5,87.3,21.7,25.3,85.9,7.24,14.6,49.4,0.0,0.02,0.04,-0.02,0.24,6.42,1.06,0.24,5.04,,59.8,56.8,2.52,1.87,0.0,0.16,0.89,0.49,0.0,0.0,0.0,0.0,45.6,0.41,0.08,,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,,3.17,1.71,1.87,1.14,0.16,1.14,2.52,45.2,1.38,1.3,0.57,0.73,1.14,4.31,4.72,0.0,,72.3,5.93,31.8,34.7,6.67,1.3,72.3,0.81,0.49,60.0,0.33,40.0,45.0,232.7,136.3,0.98,1.3,0.0,0.57,0.49,45.9,0.57,,0.41,0.0,0.0,1.79,0.65,0.0,0.89,1.14,1.71,0.0,0.0,0.0,5.77,2.6,2.36,52.5,1106,OK,0.057506294139373144,68.18181818181817,-0.14141978912079348,58.06451612903226,60.532150776053214,88.0,31.0,OK
Adam Smith,bournemouth,FB_WB,,FB_STAY_HOME,58,eng ENG,DF,33.0,1991.0,25,19,1590,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.04,0.04,0.02,0.06,0.85,2.77,1.92,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,DF,0.0,0.17,0.0,0.0,0.17,0.0,0.0,,16.9,0.0,0.0,0.0,0.04,0.04,0.22,-0.04,-0.04,,29.0,38.4,75.7,477.5,153.8,13.8,15.5,88.7,12.5,15.8,79.6,1.81,5.03,36.0,0.0,0.02,0.04,-0.02,0.45,2.77,0.56,0.28,2.77,,38.4,31.1,7.23,0.51,0.06,0.11,1.86,6.72,0.0,0.0,0.0,0.0,29.0,0.06,0.85,,1.3,1.3,0.96,0.06,0.06,0.0,0.17,0.06,0.11,0.11,0.06,0.0,0.0,0.0,0.06,0.0,,1.36,0.68,0.62,0.4,0.34,0.79,1.53,51.9,0.73,0.73,0.28,0.45,0.85,2.2,2.77,0.06,,46.6,2.32,13.6,22.3,11.1,0.45,46.6,0.9,0.34,37.5,0.4,43.8,20.7,87.7,40.2,0.85,1.02,0.06,0.73,0.4,22.8,1.92,,0.4,0.0,0.0,1.07,0.68,0.0,1.86,0.85,0.68,0.0,0.0,0.0,2.82,0.79,0.85,48.3,1590,OK,-0.6748564652118179,3.4090909090909087,-0.5367467228924833,8.333333333333332,7.262845849802371,88.0,36.0,OK
Dean Huijsen,bournemouth,CB,CB_BUILDER,,61,es ESP,DF,19.0,2005.0,32,26,2427,27.0,0.11,0.07,0.19,0.11,0.0,0.0,0.37,0.0,0.07,0.07,0.07,0.14,1.52,4.89,0.37,0.11,0.07,0.19,0.11,0.19,0.07,0.08,0.14,0.07,0.14,DF,0.11,0.67,0.11,16.7,0.67,0.11,0.17,1.0,11.9,0.0,0.0,0.0,0.07,0.07,0.1,0.04,0.04,,50.2,60.2,83.4,1008.1,404.7,16.6,18.5,89.8,26.4,28.9,91.2,6.7,11.3,59.5,0.07,0.07,0.06,0.0,0.56,6.67,0.26,0.07,4.89,,60.2,58.0,1.96,1.19,0.07,0.56,0.44,0.22,0.0,0.0,0.0,0.0,50.2,0.22,0.44,,1.59,1.59,1.48,0.04,0.0,0.04,0.04,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,1.33,0.96,0.7,0.59,0.04,0.67,1.07,62.1,0.41,1.48,1.07,0.41,1.89,3.22,7.33,0.15,,74.9,9.41,33.9,36.0,5.37,1.11,74.9,0.19,0.07,40.0,0.11,60.0,41.4,261.9,161.1,1.52,1.15,0.0,0.74,0.04,47.1,0.37,,0.37,0.0,0.0,1.15,0.37,0.07,0.44,1.89,0.96,0.0,0.0,0.0,3.89,2.52,1.63,60.7,2427,OK,0.7728398068737556,87.75510204081633,-0.8673280550816737,11.11111111111111,51.45005370569281,98.0,9.0,OK
Illia Zabarnyi,bournemouth,CB,CB_HYBRID,,57,ua UKR,DF,21.0,2002.0,36,35,3109,34.5,0.0,0.03,0.03,0.0,0.0,0.0,0.12,0.03,0.04,0.04,0.02,0.06,0.78,4.06,0.12,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.06,0.04,0.06,DF,0.0,0.35,0.03,8.3,0.35,0.03,0.0,0.0,9.8,0.0,0.0,0.0,0.04,0.04,0.11,-0.04,-0.04,,40.7,49.6,82.1,859.4,314.8,10.8,12.1,89.2,24.1,26.5,91.1,5.42,10.0,54.0,0.03,0.02,0.02,0.01,0.35,4.43,0.2,0.0,4.06,,49.6,48.6,0.9,0.78,0.17,0.2,0.17,0.03,0.0,0.0,0.0,0.0,40.7,0.06,0.29,,0.84,0.84,0.75,0.03,0.0,0.0,0.0,0.06,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,,1.51,1.04,0.9,0.58,0.03,0.99,1.45,68.0,0.46,0.96,0.58,0.38,1.19,2.7,5.28,0.06,,59.8,6.78,26.9,31.2,2.23,0.46,59.8,0.26,0.17,66.7,0.06,22.2,37.2,242.1,143.4,0.78,0.61,0.0,0.41,0.09,37.9,0.12,,0.12,0.03,0.0,0.58,0.2,0.0,0.17,1.19,1.04,0.0,0.0,0.0,4.55,2.23,1.28,63.6,3109,OK,0.09885153765736666,54.08163265306123,-0.5209825616250188,11.11111111111111,20.452528837622005,98.0,36.0,OK
Milos Kerkez,bournemouth,FB_WB,,FB_WIDE,60,hu HUN,DF,20.0,2003.0,38,38,3336,37.1,0.05,0.13,0.19,0.05,0.0,0.0,0.11,0.0,0.02,0.01,0.11,0.12,2.86,4.29,5.31,0.05,0.13,0.19,0.05,0.19,0.02,0.1,0.12,0.01,0.12,DF,0.05,0.51,0.13,26.3,0.51,0.13,0.11,0.4,20.2,0.0,0.0,0.0,0.02,0.01,0.03,0.04,0.04,,36.3,47.9,75.8,563.6,185.4,20.1,22.4,89.8,13.0,16.6,78.0,2.26,5.88,38.5,0.13,0.11,0.07,0.03,0.94,2.35,1.11,0.73,4.29,,47.9,39.5,8.22,0.49,0.05,0.08,3.83,7.52,0.19,0.13,0.03,0.0,36.3,0.13,1.48,,2.24,2.24,1.81,0.11,0.05,0.05,0.13,0.08,0.24,0.24,0.19,0.0,0.03,0.0,0.0,0.03,,1.4,0.7,0.67,0.54,0.19,0.65,1.02,63.2,0.38,1.02,0.3,0.73,1.21,2.61,2.86,0.11,,58.2,3.02,14.9,24.3,19.7,1.86,58.2,1.29,0.59,45.8,0.43,33.3,29.5,172.2,100.0,2.86,1.97,0.43,1.32,0.59,32.2,5.31,,0.11,0.0,0.0,0.81,1.35,0.08,3.83,1.21,0.7,0.0,0.0,0.0,4.56,0.75,1.32,36.4,3336,OK,-0.16427102191561196,46.590909090909086,-0.4810846095155136,23.809523809523807,31.158357771260995,88.0,21.0,OK
Max Aarons,bournemouth,FB_WB,,FB_INVERTED,64,eng ENG,DF,24.0,2000.0,3,1,86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,50.0,63.0,79.4,887.0,361.0,21.0,25.0,84.0,24.0,29.0,82.8,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,,63.0,51.0,12.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,,2.0,2.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,,73.0,2.0,19.0,40.0,15.0,0.0,73.0,2.0,0.0,0.0,1.0,50.0,41.0,152.0,68.0,1.0,0.0,0.0,1.0,0.0,40.0,3.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,,86,LOW_MIN,0.09831887991229551,72.72727272727273,-0.018773994144928485,67.74193548387096,68.95787139689578,88.0,31.0,OK
James Hill,bournemouth,FB_WB,,FB_INVERTED,62,eng ENG,DF,22.0,2002.0,10,6,448,5.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.06,0.06,0.06,0.12,0.6,3.2,1.6,0.0,0.2,0.2,0.0,0.2,0.06,0.05,0.11,0.06,0.11,DF,0.0,1.2,0.0,0.0,1.21,0.0,0.0,,13.9,0.0,0.0,0.0,0.06,0.06,0.05,-0.06,-0.06,,31.8,49.0,64.9,619.6,218.8,10.2,13.4,76.1,17.0,22.0,77.3,4.2,11.6,36.2,0.2,0.06,0.06,0.14,0.6,4.0,1.2,0.0,3.2,,49.0,42.4,6.6,0.6,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,31.8,0.0,1.0,,1.6,1.61,1.0,0.4,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,,3.0,1.6,1.2,1.2,0.6,0.6,2.2,27.3,1.6,1.0,0.0,1.0,1.8,4.8,6.2,0.0,,63.8,3.8,19.8,33.4,10.8,1.6,63.8,0.4,0.2,50.0,0.2,50.0,29.2,110.4,59.0,0.6,1.2,0.0,0.4,0.0,35.8,1.6,,0.2,0.0,0.0,1.4,1.0,0.0,2.0,1.8,1.6,0.0,0.0,0.0,2.6,2.8,2.4,53.8,448,LOW_MIN,-0.37986546933960597,25.0,-0.6562639858490537,3.225806451612903,8.536585365853659,88.0,31.0,OK
Julian Araujo,bournemouth,FB_WB,,FB_STAY_HOME,63,mx MEX,DF,22.0,2001.0,12,7,497,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.02,0.02,0.73,2.55,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,DF,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,32.4,40.9,79.1,546.5,161.8,15.3,17.1,89.4,15.1,17.5,86.5,1.82,5.27,34.5,0.0,0.02,0.02,-0.02,0.18,3.09,0.55,0.36,2.55,,40.9,36.0,4.91,0.36,0.0,0.0,1.64,4.55,0.0,0.0,0.0,0.0,32.4,0.0,0.36,,0.91,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.82,0.91,0.73,1.09,0.0,0.91,2.18,41.7,1.27,0.55,0.0,0.55,1.09,2.91,3.27,0.0,,50.0,3.64,16.4,24.7,10.0,0.36,50.0,0.18,0.0,0.0,0.18,100.0,22.9,87.6,46.9,0.73,0.55,0.0,0.91,0.36,27.1,4.0,,0.36,0.0,0.0,1.27,0.36,0.18,1.64,1.09,0.91,0.0,0.0,0.0,5.27,0.55,1.64,25.0,497,LOW_MIN,-0.6257099459532083,5.681818181818182,-0.3606288780060677,22.22222222222222,18.626482213438734,88.0,36.0,OK
Mads Roerslev,brentford,FB_WB,,FB_STAY_HOME,85,dk DEN,DF,25.0,1999.0,19,11,1101,12.2,0.0,0.16,0.16,0.0,0.0,0.0,0.16,0.0,0.02,0.02,0.25,0.26,1.39,4.18,4.43,0.0,0.16,0.16,0.0,0.16,0.02,0.24,0.26,0.02,0.26,DF,0.0,0.41,0.16,40.0,0.41,0.16,0.0,0.0,20.8,0.0,0.0,0.0,0.02,0.02,0.04,-0.02,-0.02,,34.6,43.9,78.7,567.6,184.3,16.8,19.1,88.0,14.7,18.4,79.9,2.21,4.02,55.1,0.16,0.25,0.17,-0.08,1.15,3.03,0.9,0.33,4.18,,43.9,38.6,5.16,0.16,0.0,0.08,2.54,5.0,0.0,0.0,0.0,0.0,34.6,0.16,0.9,,1.72,1.72,1.48,0.0,0.08,0.08,0.08,0.0,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,,1.48,0.66,1.15,0.25,0.08,0.9,2.3,39.3,1.39,0.98,0.41,0.57,0.33,1.8,2.87,0.0,,52.9,4.02,19.2,22.0,12.0,1.64,52.9,1.56,0.57,36.8,0.66,42.1,28.9,133.6,70.3,1.39,1.07,0.0,0.74,0.49,33.3,4.43,,0.16,0.0,0.0,0.49,0.82,0.0,2.54,0.33,0.66,0.0,0.0,0.0,3.2,0.82,1.15,41.7,1101,OK,-0.3528791593487188,27.27272727272727,0.202904196080345,63.888888888888886,55.92885375494071,88.0,36.0,OK
Kristoffer Ajer,brentford,FB_WB,,FB_STAY_HOME,94,no NOR,DF,26.0,1998.0,24,17,1438,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.06,0.06,0.07,0.14,1.69,3.5,2.75,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,DF,0.0,0.56,0.19,33.3,0.56,0.19,0.0,0.0,9.5,0.0,0.0,0.0,0.06,0.06,0.11,-0.06,-0.06,,31.5,40.3,78.3,491.8,176.9,16.3,18.7,87.0,12.4,15.5,80.2,1.69,3.38,50.0,0.0,0.07,0.03,-0.07,0.5,2.75,0.44,0.25,3.5,,40.3,35.6,4.56,0.13,0.0,0.19,0.88,4.44,0.0,0.0,0.0,0.0,31.5,0.06,1.13,,1.13,1.13,0.94,0.0,0.06,0.13,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,,1.63,1.13,0.88,0.69,0.06,0.88,1.69,51.9,0.81,1.06,0.25,0.81,0.75,2.38,3.13,0.0,,49.7,3.31,16.6,23.0,10.5,2.38,49.7,1.0,0.44,43.8,0.5,50.0,24.2,131.1,73.8,1.69,0.69,0.13,0.94,0.75,30.7,2.75,,0.31,0.0,0.0,0.81,0.38,0.13,0.88,0.75,1.13,0.0,0.0,0.0,2.63,1.69,1.44,54.0,1438,OK,-0.6160328197714896,6.8181818181818175,-0.4597877552884802,13.88888888888889,12.351778656126482,88.0,36.0,OK
