Player,Squad,Pos,Min,Min_num,low_min_flag,fw_post,fw_post_proba,p_ST,p_NON_ST,hybrid_flag,prob_gap
Cody Gakpo,liverpool,FW,1935,1935,False,NON_ST,1.0,9.956652624236577e-63,1.0,False,1.0
Darwin Núñez,liverpool,FW,1133,1133,False,ST,0.9999997630771855,0.9999997630771855,2.3692281460515072e-07,False,0.9999995261543709
Diogo Jota,liverpool,FW,1196,1196,False,ST,0.9999217646513542,0.9999217646513542,7.823534864583555e-05,False,0.9998435293027084
Federico Chiesa,liverpool,FW,108,108,True,NON_ST,0.9999999999999991,7.909651173593347e-16,0.9999999999999991,False,0.9999999999999983
Luis Díaz,liverpool,FW,2399,2399,False,NON_ST,0.9999999999999996,4.811429996824703e-16,0.9999999999999996,False,0.9999999999999991
Mohamed Salah,liverpool,FW,3371,3371,False,NON_ST,1.0,8.345386445965459e-38,1.0,False,1.0
Claudio Echeverri,manchester city,FW,6,6,True,ST,0.9921290074783692,0.9921290074783692,0.007870992521630853,False,0.9842580149567384
Divin Mubama,manchester city,FW,28,28,True,ST,0.9999826224231649,0.9999826224231649,1.737757683509707e-05,False,0.9999652448463299
Erling Haaland,manchester city,FW,2736,2736,False,ST,0.9999999998174518,0.9999999998174518,1.825482776721932e-10,False,0.9999999996349035
Oscar Bobb,manchester city,FW,16,16,True,NON_ST,1.0,2.1047826756593434e-79,1.0,False,1.0
Chidozie Obi-Martin,manchester utd,FW,165,165,True,ST,0.9999999839893948,0.9999999839893948,1.6010605097714237e-08,False,0.9999999679787898
Rasmus Højlund,manchester utd,FW,2004,2004,False,ST,0.9999997976367649,0.9999997976367649,2.0236323502073312e-07,False,0.9999995952735299
Alexander Isak,newcastle utd,FW,2756,2756,False,ST,0.991527000141184,0.991527000141184,0.008472999858815987,False,0.983054000282368
Callum Wilson,newcastle utd,FW,370,370,True,ST,0.999924270505977,0.999924270505977,7.572949402295273e-05,False,0.9998485410119541
Harvey Barnes,newcastle utd,FW,1755,1755,False,NON_ST,1.0,2.2554229564304873e-35,1.0,False,1.0
Jacob Murphy,newcastle utd,FW,2360,2360,False,NON_ST,1.0,7.892075964659006e-113,1.0,False,1.0
Miguel Almirón,newcastle utd,FW,157,157,True,NON_ST,0.9954769848439067,0.00452301515609326,0.9954769848439067,False,0.9909539696878135
William Osula,newcastle utd,FW,134,134,True,NON_ST,1.0,1.6384559348260688e-34,1.0,False,1.0
Chris Wood,nott'ham forest,FW,2959,2959,False,ST,0.999999999491473,0.999999999491473,5.085270229180057e-10,False,0.999999998982946
Taiwo Awoniyi,nott'ham forest,FW,416,416,True,ST,0.9999998745487856,0.9999998745487856,1.2545121435709573e-07,False,0.9999997490975713
Ben Brereton,southampton,FW,449,449,True,NON_ST,0.6727358350770086,0.32726416492299126,0.6727358350770086,False,0.34547167015401736
Cameron Archer,southampton,FW,1441,1441,False,ST,0.9999999800857272,0.9999999800857272,1.9914272783130293e-08,False,0.9999999601714544
Maxwel Cornet,southampton,FW,72,72,True,NON_ST,1.0,3.603187873954524e-62,1.0,False,1.0
Paul Onuachu,southampton,FW,1050,1050,False,ST,0.9999999660586798,0.9999999660586798,3.3941320249028026e-08,False,0.9999999321173596
Ross Stewart,southampton,FW,389,389,True,ST,0.9999990321821973,0.9999990321821973,9.6781780261543e-07,False,0.9999980643643948
Brennan Johnson,tottenham,FW,2177,2177,False,NON_ST,0.9999999999999993,5.855727614431074e-16,0.9999999999999993,False,0.9999999999999988
Dominic Solanke,tottenham,FW,2201,2201,False,ST,0.9999999970601654,0.9999999970601654,2.9398346434545008e-09,False,0.9999999941203308
Mathys Tel,tottenham,FW,911,911,False,NON_ST,1.0,2.0830306480868317e-62,1.0,False,1.0
Mikey Moore,tottenham,FW,366,366,True,NON_ST,1.0,1.0948542367548365e-78,1.0,False,1.0
Richarlison,tottenham,FW,504,504,True,ST,0.997409343177065,0.997409343177065,0.0025906568229351213,False,0.9948186863541298
Son Heung-min,tottenham,FW,2110,2110,False,NON_ST,1.0,4.1748509944458304e-68,1.0,False,1.0
Evan Ferguson,west ham,FW,156,156,True,NON_ST,0.9750250355450653,0.024974964454934773,0.9750250355450653,False,0.9500500710901305
Michail Antonio,west ham,FW,836,836,True,NON_ST,1.0,6.678630978836077e-31,1.0,False,1.0
Niclas Füllkrug,west ham,FW,790,790,True,ST,0.9999462616631529,0.9999462616631529,5.373833684710856e-05,False,0.9998925233263058
Jørgen Strand Larsen,wolves,FW,2587,2587,False,ST,0.9999999994059634,0.9999999994059634,5.940366784804007e-10,False,0.9999999988119267
